	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	
Sample_1	0.007414	0.803196	0.038122	1e-06	0.151267	0.0	0.0	
Sample_2	0.423725	0.438667	0.070635	0.0	0.066972	0.0	0.0	
Sample_3	1.2e-05	0.403165	0.015055	0.0	0.016774	0.0	0.564994	
Sample_4	1.9e-05	0.365532	5e-06	0.01148	0.028422	0.0	0.594541	
Sample_5	0.032094	0.398366	1e-05	9e-06	0.085326	0.0	0.484195	
Sample_6	4.1e-05	0.270363	0.023308	0.004733	0.051959	0.0	0.649596	
Sample_7	0.02981	0.349057	0.04085	1e-06	0.283927	0.0	0.296355	
Sample_8	7.4e-05	0.094399	0.042863	0.112663	0.660281	0.0	0.089719	
Sample_9	0.179378	0.024496	0.066519	1e-06	0.697316	0.0	0.032291	
Sample_10	4.2e-05	0.151993	0.034217	0.150554	0.456059	0.0	0.207135	
Sample_11	0.918049	0.0	0.02172	0.030603	0.029628	0.0	0.0	
Sample_12	0.92358	0.0	0.027478	0.013189	0.035754	0.0	0.0	
Sample_13	0.898115	0.0	0.041843	0.010125	0.038301	0.000771	0.010844	
Sample_14	0.902167	0.0	0.024927	1e-06	0.072906	0.0	0.0	
Sample_15	0.910461	0.0	0.01273	0.008958	0.026027	0.0	0.041824	
Sample_16	0.837609	0.0	0.045208	0.059731	0.057452	0.0	0.0	
Sample_17	0.874339	0.0	0.048813	0.041629	0.033627	0.001591	0.0	
Sample_18	0.829004	0.0	0.079939	0.025047	0.06601	0.0	0.0	
Sample_19	0.835161	0.0	0.069648	0.028729	0.066462	0.0	0.0	
Sample_20	0.852223	0.0	0.072919	0.01961	0.055248	0.0	0.0	
Sample_21	0.836596	0.0	0.062378	0.017509	0.076633	0.006885	0.0	
Sample_22	0.825258	0.0	0.064998	0.038591	0.039986	0.0	0.031167	
Sample_23	0.813079	0.0	0.044905	0.036704	0.038591	0.0	0.066721	
Sample_24	0.829491	0.0	0.116567	0.032426	0.021516	0.0	0.0	
Sample_25	0.839344	0.0	0.023718	0.024428	0.112509	0.0	0.0	
Sample_26	0.823008	0.0	0.046541	0.011377	0.105094	0.0	0.013979	
Sample_27	0.741682	0.044097	0.067858	0.027136	0.119227	0.0	0.0	
Sample_28	0.747533	0.0	0.058993	1e-06	0.193473	0.0	0.0	
Sample_29	0.565419	0.067063	0.058026	0.027581	0.066775	0.0	0.215136	
Sample_30	5e-06	0.020064	0.895021	0.0	0.00362	0.000393	0.080896	
Sample_31	3.1e-05	0.0	1.9e-05	0.791959	0.073357	0.004952	0.129682	
Sample_32	7e-06	0.000291	2e-06	0.0	7e-06	0.999694	0.0	
Sample_33	1.4e-05	0.0	1e-06	0.0	2.8e-05	0.999957	0.0	
