	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	
Sample_1	0.0	0.15237	0.084312	0.191581	0.093638	0.0	0.069392	0.0	0.164365	0.168555	0.075785	0.0	
Sample_2	0.033811	0.18621	0.091195	0.213971	0.0	0.070351	0.013461	0.0	0.206679	0.083744	0.100578	0.0	
Sample_3	0.0	0.037049	0.189368	0.231203	0.0	0.0	0.262884	0.0	0.15138	0.060218	0.067898	0.0	
Sample_4	0.043071	0.070587	0.24876	0.230093	0.0	0.055009	0.014171	0.0	0.146582	0.191661	6.7e-05	0.0	
Sample_5	0.056648	0.002568	0.261076	0.214701	0.0	0.025626	0.012238	0.0	0.256156	0.153545	0.017442	0.0	
Sample_6	0.0	0.116192	0.211066	0.24872	0.036236	0.0	0.00559	0.0	0.233642	0.085376	0.063178	0.0	
Sample_7	0.0	0.034962	0.257344	0.23806	0.033007	0.0	0.004632	0.0	0.237858	0.088535	0.105602	0.0	
Sample_8	0.0	0.04918	0.209059	0.299095	0.052236	0.0	0.027086	0.035775	0.159409	0.125093	0.043067	0.0	
Sample_9	0.036663	0.082923	0.427867	0.223909	0.0	0.0	1.3e-05	0.0	0.096633	0.06502	0.066972	0.0	
Sample_10	0.0	0.079037	0.494656	0.219855	0.0	0.0	3e-06	0.0	0.062913	0.091893	0.051643	0.0	
Sample_11	0.036328	0.035406	0.546016	0.196133	0.0	0.007373	6e-06	0.0	0.049658	0.128717	0.000363	0.0	
Sample_12	0.035232	0.1397	0.447999	0.098524	0.0	0.036431	0.007798	0.0	0.119939	0.114302	7.5e-05	0.0	
Sample_13	0.001532	0.100979	0.515533	0.167707	0.0	0.0	4e-06	0.0	0.117367	0.096814	6.3e-05	0.0	
Sample_14	0.047924	0.061601	0.341263	0.202181	0.0	0.041503	0.016315	0.0	0.127099	0.090603	0.071511	0.0	
Sample_15	0.0	0.115979	0.343342	0.163656	0.002747	0.059139	0.01542	0.0	0.163119	0.081392	0.055204	0.0	
Sample_16	0.0	0.128998	0.415565	0.241014	0.0	0.0	9e-06	0.0	0.152638	0.061694	8.3e-05	0.0	
Sample_17	0.0	0.136878	0.396838	0.24276	0.0	0.0	0.021503	0.0	0.119153	0.055645	0.027222	0.0	
Sample_18	0.0	0.094671	0.428572	0.243917	0.0	0.0	0.011313	0.0	0.141499	0.03269	0.047338	0.0	
