	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	Predicted_signature_14	Predicted_signature_15	Predicted_signature_16	Predicted_signature_17	Predicted_signature_18	
Sample_1	2e-06	0.0	0.0	0.18585	0.149145	0.016853	0.004486	0.024957	0.043629	1.1e-05	0.115051	0.133161	0.009902	0.018817	0.033512	0.169342	0.083571	0.011712	
Sample_2	0.012317	0.005855	0.0	0.155254	0.157914	0.013018	0.0	0.025437	0.043961	1.1e-05	0.106241	0.185064	0.001153	0.01459	0.030019	0.149445	0.067352	0.03237	
Sample_3	3e-06	0.0	0.0	0.216819	0.136191	0.014637	0.010841	0.019221	0.036849	0.025844	0.104113	0.140012	0.017105	1.1e-05	0.037024	0.149456	0.025529	0.066345	
Sample_4	0.042785	0.0	0.0	0.196533	0.143688	0.007998	0.004515	0.028827	0.044009	0.028328	0.094886	0.126101	0.013308	0.015837	0.025067	0.129258	0.04993	0.048931	
Sample_5	6e-06	0.0	0.0	0.151899	0.163157	0.000339	0.0	0.006557	0.05104	0.040521	0.118021	0.123969	0.016338	0.029711	0.044847	0.21031	0.040097	0.003188	
Sample_6	0.010571	0.0	0.0	0.123669	0.156485	0.01687	0.0	0.011243	0.025602	2.1e-05	0.109415	0.194407	0.003775	0.00851	0.045187	0.241991	0.047698	0.004555	
Sample_7	0.020311	0.013511	0.0	0.164083	0.130326	0.037888	0.0	0.047272	0.071873	7e-06	0.06471	0.180267	0.025236	0.012609	0.019591	0.079213	0.082342	0.050761	
Sample_8	1e-06	0.0	0.0	0.144862	0.078742	0.009295	0.0	0.023922	0.05039	0.02046	0.15944	0.261335	0.007315	0.019749	0.034891	0.157601	0.018541	0.013454	
Sample_9	0.019092	0.0	0.014399	0.187394	0.038316	0.036372	0.0	0.068423	0.053502	0.024715	0.116526	0.230427	0.030889	1e-05	0.025593	0.08957	0.034469	0.030302	
Sample_10	0.009844	0.026078	0.0	0.21372	0.063773	0.010099	0.0	0.027109	0.033211	1.9e-05	0.121885	0.181127	0.052005	0.02527	0.032941	0.147413	0.051165	0.004341	
Sample_11	0.028196	0.0	0.0	0.132345	0.064177	0.044512	0.018621	0.061925	0.070523	0.055131	0.17026	0.135598	0.006124	0.02376	0.035681	0.100229	0.029184	0.023733	
