	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	
Sample_1	0.097463	0.252061	0.0	0.012536	1.4e-05	0.050558	0.165892	0.00461	0.332695	0.058304	0.025867	
Sample_2	0.047253	0.152018	0.0	0.0	0.054497	0.080695	0.261931	8e-06	0.381824	4.9e-05	0.021724	
Sample_3	0.093427	0.138597	0.0	0.02954	1e-05	0.210801	0.146509	5e-06	0.333717	4.3e-05	0.047351	
Sample_4	0.173151	0.149673	0.068115	0.0	0.04595	0.0	0.220512	6e-06	0.229677	0.097759	0.015158	
Sample_5	0.111226	0.216545	0.0	0.09272	0.04488	0.065357	1.7e-05	0.05432	0.377975	0.036961	0.0	
Sample_6	0.082443	0.41222	0.0	0.05456	1e-05	0.0	0.025053	0.02089	0.342084	0.06274	0.0	
Sample_7	0.121428	0.029762	0.0	0.0	0.047975	0.0	0.158461	0.025669	0.561144	0.05556	0.0	
Sample_8	0.261805	0.086545	0.0	1e-06	1.1e-05	0.0	1.5e-05	6e-06	0.498968	0.087973	0.064676	
Sample_9	0.109359	0.050993	0.0	0.0	1.4e-05	0.11452	0.02636	0.022152	0.505085	0.076337	0.095178	
Sample_10	0.012716	0.043222	0.073058	0.0	0.031632	0.139507	1.3e-05	0.06913	0.589215	0.041506	0.0	
Sample_11	0.040563	0.054735	0.038281	0.022916	0.08066	0.174429	0.058361	0.100155	0.355834	0.074065	0.0	
Sample_12	1.9e-05	0.150881	0.020374	0.051457	0.179644	0.0	0.048484	0.03791	0.472019	0.039212	0.0	
Sample_13	0.035278	0.148342	0.0	0.0	0.13123	0.0	0.024703	0.20553	0.361787	0.022415	0.070713	
Sample_14	0.041926	0.109529	0.0	0.061227	0.22743	0.039922	0.04367	0.198426	0.243642	0.012331	0.021897	
Sample_15	6e-06	0.005444	0.0	0.094374	0.293327	0.0	0.0873	0.234208	0.260514	0.011206	0.013622	
