	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	
Sample_1	0.012276	0.108961	0.068791	0.538286	0.0	0.14795	0.123736	
Sample_2	5e-06	9e-06	1.1e-05	0.771801	0.0	0.228173	1e-06	
Sample_3	3e-06	7e-06	0.060199	0.93979	0.0	0.0	1e-06	
Sample_4	5e-06	0.036256	0.081566	0.839989	0.012411	0.0	0.029773	
Sample_5	2e-06	0.029735	1e-05	0.970252	0.0	0.0	2e-06	
Sample_6	0.009795	9e-06	0.027516	0.797838	0.094612	0.023236	0.046995	
Sample_7	0.041634	0.108408	1.2e-05	0.764536	0.0	0.085408	2e-06	
Sample_8	5e-06	0.071508	0.155766	0.748788	0.0	0.003216	0.020717	
Sample_9	0.003556	0.015726	0.226029	0.694481	0.0	0.0	0.060209	
Sample_10	3e-06	0.174076	8e-06	0.762724	0.056568	0.006619	1e-06	
Sample_11	3e-06	0.256721	0.022369	0.720905	0.0	0.0	2e-06	
Sample_12	0.025589	0.17953	0.251837	0.543043	0.0	0.0	1e-06	
Sample_13	0.25829	9e-06	0.081082	0.585438	0.0	0.056848	0.018333	
Sample_14	0.038691	0.343497	1.3e-05	0.496692	0.069247	0.01353	0.038331	
Sample_15	0.203795	0.457293	0.009869	0.183505	0.108955	0.0	0.036583	
Sample_16	0.161857	0.533422	0.026727	0.197869	9e-06	0.069318	0.010797	
Sample_17	0.152959	0.490665	0.1374	0.086681	0.001528	0.071733	0.059035	
Sample_18	0.027451	0.394178	0.057155	0.030383	0.008262	0.408659	0.073913	
Sample_19	0.011841	0.013132	1.3e-05	0.000117	0.0	0.948169	0.026729	
Sample_20	0.942053	1e-05	1.3e-05	0.057922	0.0	0.0	2e-06	
Sample_21	0.99991	9e-06	1.2e-05	6.7e-05	0.0	0.0	1e-06	
Sample_22	0.033574	0.007802	0.672751	4e-05	0.256323	0.009041	0.020469	
Sample_23	0.027986	7e-06	0.762948	4.7e-05	0.181831	0.0	0.02718	
Sample_24	0.014218	0.00637	0.932235	1.6e-05	0.030969	0.0	0.016192	
Sample_25	0.034579	0.078716	0.541213	0.008528	0.313777	0.017735	0.005453	
Sample_26	3e-06	9e-06	0.521566	0.017961	0.46046	0.0	1e-06	
Sample_27	0.058965	0.011362	0.166831	4.8e-05	0.733223	0.0	0.02957	
Sample_28	0.045531	0.022458	7e-06	4.1e-05	0.019268	0.0	0.912695	
