	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	
Sample_1	0.128875	0.003759	0.001467	0.022623	0.102513	0.083105	0.657622	3.7e-05	
Sample_2	0.035054	0.048394	0.033471	0.048477	0.041066	0.011735	0.7002	0.081603	
Sample_3	0.001422	0.01368	0.00032	0.000186	0.29156	0.029979	0.662825	2.8e-05	
Sample_4	0.000123	0.00795	0.012152	0.182394	0.650808	0.005815	0.117984	0.022774	
Sample_5	0.809135	0.009793	5.1e-05	2.2e-05	8.2e-05	0.004079	0.17683	7e-06	
Sample_6	0.703703	2.7e-05	0.000214	0.000183	0.01878	0.049499	0.227563	3.1e-05	
Sample_7	0.069005	0.010766	0.1961	0.053948	0.164391	0.48048	0.008134	0.017176	
Sample_8	0.069923	0.014022	0.199526	0.056183	0.176054	0.454935	0.007005	0.022352	
Sample_9	0.050941	0.016691	0.18113	0.080333	0.187824	0.453572	0.01588	0.013629	
Sample_10	0.068191	2e-06	0.279029	0.000135	0.193576	0.391874	0.067189	4e-06	
Sample_11	0.051916	0.006107	0.255804	0.031653	0.033792	0.554058	0.053156	0.013513	
Sample_12	0.052078	0.006471	0.161118	0.08664	0.033265	0.621758	0.02738	0.01129	
Sample_13	0.057445	0.007624	0.075463	0.121913	0.084307	0.622333	0.026963	0.003952	
Sample_14	0.05102	0.003037	0.000291	7.6e-05	0.06242	0.873716	0.006226	0.003214	
Sample_15	0.040249	0.009769	0.014039	0.011025	0.078011	0.836123	0.006182	0.004601	
Sample_16	0.053307	0.00843	0.047322	0.023242	0.053869	0.791178	0.014816	0.007835	
Sample_17	0.029736	0.005906	0.012066	0.036781	0.034962	0.855525	0.021663	0.00336	
Sample_18	0.058553	0.005948	0.02627	0.10276	0.010236	0.765771	0.023335	0.007127	
Sample_19	0.068599	0.008471	0.151919	0.366457	0.070968	0.292186	0.023081	0.018319	
Sample_20	0.066933	0.005048	0.170586	0.348206	0.096093	0.275446	0.021944	0.015744	
Sample_21	0.070381	0.005245	0.104229	0.414755	0.071804	0.301521	0.013593	0.018471	
Sample_22	0.056824	0.003065	0.114826	0.364489	0.061179	0.366265	0.00866	0.024692	
Sample_23	0.092927	0.013769	0.114764	0.300134	0.027222	0.425777	0.010512	0.014896	
Sample_24	0.066312	0.007053	0.204914	0.241331	0.069011	0.363622	0.024666	0.023092	
Sample_25	0.038235	0.015879	0.241707	0.195931	0.089484	0.366128	0.031669	0.020966	
Sample_26	0.053595	0.034326	0.392769	0.046807	0.122513	0.201453	0.122362	0.026175	
Sample_27	0.102897	0.02557	0.453285	0.01286	0.113259	0.198307	0.055326	0.038496	
Sample_28	0.000121	0.993837	7.6e-05	4.1e-05	0.000106	0.003028	0.002774	1.6e-05	
Sample_29	6.1e-05	0.996029	5e-05	5e-05	0.000108	0.001552	0.002136	1.5e-05	
Sample_30	0.000202	0.236461	0.000169	8.1e-05	0.006545	0.00484	0.023819	0.727884	
