	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	Predicted_signature_14	Predicted_signature_15	Predicted_signature_16	Predicted_signature_17	Predicted_signature_18	Predicted_signature_19	Predicted_signature_20	Predicted_signature_21	Predicted_signature_22	Predicted_signature_23	Predicted_signature_24	Predicted_signature_25	Predicted_signature_26	Predicted_signature_27	
Sample_1	0.008834	0.002173	0.058203	0.008814	0.003788	0.021607	0.054119	0.023717	0.011222	0.041375	0.0053	0.003534	0.053057	0.003985	0.054649	0.01775	0.005504	0.00389	0.009741	0.021571	0.032153	0.005436	0.004054	0.036187	0.077038	0.010769	0.42153	
Sample_2	0.016445	0.007584	0.038761	0.02126	0.00692	0.017583	0.024268	0.024988	0.004365	0.03886	0.0	0.009101	0.028238	0.006026	0.017473	0.01111	0.004748	0.005247	0.004237	0.007224	0.040464	0.00332	0.001742	0.013747	0.067353	0.024315	0.554621	
Sample_3	0.190965	0.00655	0.016679	0.022497	0.002202	0.008334	0.010055	0.010619	0.005506	0.009678	0.002053	0.0	0.004227	0.006397	0.003962	0.012355	0.018683	0.018001	0.006862	0.002126	0.020704	0.00195	0.007039	0.033399	0.031231	0.000376	0.54755	
Sample_4	0.034188	0.123148	0.019427	0.040607	0.022047	0.039751	0.034005	0.051875	0.010885	0.0382	0.006838	0.004761	0.017147	0.00979	0.066794	0.008684	0.003072	0.000749	0.00277	0.013825	0.029201	0.010753	0.044422	0.223809	0.026948	0.029016	0.087289	
Sample_5	0.003899	0.020215	0.076483	0.01905	0.012684	0.033816	0.062308	0.054161	0.014988	0.065478	0.005848	0.001949	0.088023	0.017298	0.046935	0.017735	0.035509	0.02219	0.010582	0.029834	0.084899	0.003691	0.004821	0.059093	0.143548	0.034844	0.030121	
Sample_6	0.004345	0.040647	0.083652	0.009442	0.015939	0.038245	0.063935	0.069422	0.015554	0.05939	0.001671	0.010417	0.1193	0.006017	0.033497	0.023003	0.051083	0.009112	0.015966	0.022244	0.081177	0.004417	0.019924	0.028427	0.12682	0.030813	0.015542	
Sample_7	0.004619	0.017642	0.078872	0.004166	0.005095	0.044684	0.09881	0.064014	0.011224	0.054898	0.0	0.002309	0.122893	0.009883	0.047612	0.025987	0.017843	0.007991	0.004103	0.014223	0.114199	0.017806	0.002902	0.021502	0.144733	0.024911	0.037077	
Sample_8	0.003419	0.013486	0.042603	0.028384	0.003695	0.026248	0.053962	0.056373	0.005922	0.086899	0.003419	0.006185	0.101667	0.000129	0.09239	0.024473	0.015701	0.001687	0.016237	0.024485	0.100664	0.007773	0.009793	0.046853	0.174444	0.030629	0.022479	
Sample_9	0.004751	0.061069	0.042125	0.003713	0.007531	0.043585	0.051113	0.087898	0.002544	0.051794	0.0	0.0	0.12209	0.00111	0.062495	0.019532	0.027	0.041219	0.003873	0.021894	0.105781	0.023506	0.010568	0.005771	0.189963	0.00379	0.005284	
Sample_10	0.001726	0.000652	0.102411	0.001634	0.026716	0.03681	0.084575	0.131028	0.003769	0.073402	0.000363	0.002351	0.113622	0.000238	0.002947	0.024474	0.002051	0.001683	0.012933	0.02023	0.166801	0.001849	0.000171	0.00207	0.18214	0.001318	0.002034	
Sample_11	0.0	0.000402	0.089999	0.007882	0.015842	0.032374	0.067552	0.115686	0.023128	0.07264	0.00396	0.009901	0.105327	0.008101	0.007113	0.028081	0.030536	0.000751	0.010588	0.018266	0.154103	0.01439	0.002623	0.00475	0.167228	0.002074	0.006701	
Sample_12	0.002424	0.001088	0.083608	0.001359	0.028059	0.033705	0.073786	0.129106	0.012591	0.065285	0.000727	0.002526	0.077693	0.00077	0.004855	0.019719	0.005935	0.006881	0.009397	0.022107	0.19308	0.002729	0.000584	0.002398	0.209361	0.002369	0.007856	
Sample_13	0.003897	0.001834	0.126577	0.00274	0.030208	0.027832	0.105446	0.122368	0.00733	0.058021	0.001559	0.006348	0.100008	0.001392	0.008684	0.023907	0.002535	0.004452	0.019158	0.017244	0.132795	0.002579	0.000744	0.003507	0.181357	0.001237	0.006239	
Sample_14	0.010836	0.003404	0.097523	0.006141	0.024006	0.03321	0.070166	0.104769	0.012832	0.077384	0.0	0.0	0.088402	0.00645	0.004976	0.03735	0.005573	0.00065	0.008752	0.011153	0.142405	0.00796	0.00556	0.022925	0.158824	0.011537	0.047213	
Sample_15	0.001939	0.055154	0.052207	0.010285	0.013174	0.046203	0.079868	0.130152	0.009754	0.074435	0.001293	0.001822	0.112733	0.005355	0.017361	0.023508	0.015108	0.003263	0.010088	0.030417	0.139152	0.00575	0.003429	0.001271	0.14555	0.003143	0.007585	
