	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	
Sample_1	0.029679	0.023574	0.598696	0.112445	0.157244	0.078361	
Sample_2	0.030002	0.029501	0.599787	0.124747	0.153175	0.062787	
Sample_3	0.018212	0.036732	0.578041	0.127573	0.170145	0.069297	
Sample_4	0.012742	0.018946	0.607133	0.10303	0.171795	0.086354	
Sample_5	0.014682	0.015718	0.630823	0.106545	0.15112	0.081112	
Sample_6	0.024526	0.038084	0.579493	0.116274	0.142988	0.098635	
Sample_7	0.011063	0.045489	0.602659	0.13058	0.135367	0.074842	
Sample_8	0.016275	0.062845	0.553043	0.120066	0.169933	0.077838	
Sample_9	0.012115	0.048844	0.595103	0.098604	0.173687	0.071646	
Sample_10	0.022119	0.037173	0.573126	0.101657	0.187918	0.078008	
Sample_11	0.029729	0.043026	0.591141	0.082935	0.174468	0.078701	
Sample_12	0.032354	0.032238	0.57616	0.082597	0.185861	0.090791	
Sample_13	0.018236	0.032635	0.602319	0.082052	0.200865	0.063893	
Sample_14	0.034084	0.031052	0.589434	0.08499	0.19794	0.062501	
Sample_15	0.023683	0.018717	0.59877	0.095056	0.190286	0.073488	
Sample_16	0.014231	0.046098	0.575073	0.075112	0.207527	0.081959	
Sample_17	0.028247	0.02005	0.654382	0.084428	0.202735	0.010159	
Sample_18	0.054396	0.024538	0.601967	0.099958	0.183321	0.03582	
Sample_19	0.021745	0.024463	0.621954	0.119159	0.179573	0.033106	
Sample_20	0.019719	0.018436	0.640204	0.100221	0.193172	0.028248	
Sample_21	0.016792	0.025987	0.636678	0.099553	0.176823	0.044167	
Sample_22	0.015817	0.022529	0.640549	0.105189	0.168218	0.047697	
Sample_23	0.005332	0.027919	0.639165	0.095934	0.166775	0.064876	
Sample_24	0.012746	0.019392	0.688434	0.085961	0.154719	0.038749	
Sample_25	0.013466	0.017913	0.690735	0.074116	0.146858	0.056912	
Sample_26	0.013955	0.021782	0.69037	0.087176	0.124763	0.061952	
Sample_27	0.010813	0.018591	0.659628	0.102661	0.139425	0.068883	
Sample_28	0.019559	0.012935	0.659521	0.104712	0.149167	0.054105	
Sample_29	0.031093	0.028641	0.65134	0.104234	0.139722	0.04497	
Sample_30	0.027653	0.02457	0.666833	0.119614	0.105164	0.056165	
Sample_31	0.017179	0.022608	0.627696	0.09382	0.126202	0.112495	
Sample_32	0.01877	0.022501	0.627982	0.086855	0.1415	0.102392	
Sample_33	0.015162	0.022686	0.649079	0.072549	0.156805	0.083718	
Sample_34	0.031092	0.014255	0.728133	0.088813	0.081727	0.05598	
Sample_35	0.010396	0.014463	0.740273	0.087098	0.086924	0.060846	
Sample_36	0.014876	0.01861	0.735133	0.078451	0.106562	0.046368	
Sample_37	0.013277	0.011265	0.776674	0.057879	0.088321	0.052584	
Sample_38	0.019492	0.02421	0.706425	0.065615	0.101542	0.082717	
Sample_39	0.018601	0.03605	0.692411	0.08334	0.08387	0.085727	
Sample_40	0.030346	0.034943	0.70269	0.103827	0.065015	0.063179	
Sample_41	0.024464	0.044701	0.648474	0.108065	0.064506	0.10979	
Sample_42	0.004646	0.028144	0.682683	0.095874	0.073603	0.115051	
Sample_43	0.040944	0.024043	0.552596	0.186829	0.093843	0.101745	
Sample_44	0.014572	0.031956	0.55589	0.178807	0.154187	0.064588	
