	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	
Sample_1	0.0	0.05879	0.0	0.0	0.031567	0.0	0.0	0.0	0.463527	0.446115	0.0	0.0	0.0	
Sample_2	0.0	0.0	0.0	0.0	0.034928	0.0	0.087829	0.0	0.376951	0.322172	0.17812	0.0	0.0	
Sample_3	0.0	0.0	0.0	0.0	0.026319	0.0	0.0	0.0	0.973681	0.0	0.0	0.0	0.0	
Sample_4	0.0	0.0	0.0	0.0	0.024282	0.0	0.0	0.0	0.975718	0.0	0.0	0.0	0.0	
Sample_5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
Sample_6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066405	0.895625	0.0	0.037969	0.0	0.0	
Sample_7	0.0	0.0	0.0	0.0	0.018536	0.0	0.0	0.0	0.11444	0.620907	0.0	0.246116	0.0	
Sample_8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.637593	0.0	0.362407	0.0	
Sample_9	0.0	0.0	0.0	0.0	0.0	0.226238	0.0	0.080171	0.074189	0.495607	0.0	0.123795	0.0	
Sample_10	0.0	0.0	0.0	0.0	0.012413	0.0	0.0	0.0	0.063885	0.923702	0.0	0.0	0.0	
Sample_11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.065543	0.934457	1e-06	0.0	0.0	
Sample_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046795	0.86219	0.0	0.0	0.091015	
Sample_13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.062345	0.748444	0.189211	0.0	0.0	
Sample_14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03644	0.783363	0.180197	0.0	0.0	
Sample_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027746	0.831119	0.141135	0.0	0.0	
Sample_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.094361	0.778309	0.12733	0.0	0.0	
Sample_17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.071908	0.713146	0.160369	0.0	0.054577	
Sample_18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.205625	0.703904	0.090471	0.0	0.0	
