	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	
Sample_1	0.322229	0.064395	0.05525	0.007977	0.285327	0.264822	
Sample_2	0.307636	0.035901	0.124612	0.001976	0.247553	0.282322	
Sample_3	0.50997	0.040687	0.256714	0.004825	0.019694	0.16811	
Sample_4	0.161808	0.054994	0.09126	0.009552	0.51704	0.165345	
Sample_5	0.101206	0.04278	0.035148	0.003556	0.6129	0.204409	
Sample_6	0.166312	0.035009	0.005516	0.0	0.673553	0.119611	
Sample_7	0.152527	0.024214	0.025765	0.002058	0.658852	0.136584	
Sample_8	0.197236	0.039536	0.028672	0.00184	0.67608	0.056637	
Sample_9	0.079438	0.030584	0.041256	0.008284	0.714714	0.125725	
Sample_10	0.065853	0.027209	0.025985	0.000892	0.072092	0.807969	
Sample_11	0.030394	0.026949	0.877921	0.007709	0.016254	0.040773	
Sample_12	0.029961	0.022035	0.878667	0.0	0.012292	0.057045	
Sample_13	0.024063	0.036379	0.882163	0.0	7.8e-05	0.057317	
Sample_14	0.048877	0.029062	0.87352	0.0	0.006934	0.041608	
Sample_15	0.006195	0.007003	0.94331	0.003534	0.012445	0.027514	
Sample_16	0.013902	7e-05	0.956598	0.0	0.009135	0.020295	
Sample_17	0.022496	0.006537	0.930451	0.00097	0.01051	0.029036	
Sample_18	0.01454	0.005629	0.929922	0.001063	0.011289	0.037556	
Sample_19	0.007271	0.013135	0.926553	0.0	0.016621	0.03642	
Sample_20	0.008713	0.017177	0.912071	0.002244	0.01952	0.040275	
Sample_21	0.009176	0.009844	0.863675	0.002257	0.057112	0.057937	
Sample_22	0.023976	0.013675	0.862492	0.0	0.04714	0.052716	
Sample_23	0.008446	0.016104	0.876726	0.005582	0.015247	0.077895	
Sample_24	0.026194	0.01336	0.870791	0.0	0.011113	0.078541	
Sample_25	0.015906	0.012069	0.859613	0.0	0.006116	0.106296	
Sample_26	3.4e-05	0.061453	0.880982	0.001371	5.2e-05	0.056108	
Sample_27	0.081626	0.029516	0.816012	0.001181	0.033352	0.038312	
Sample_28	0.064021	0.022853	0.806476	0.002398	0.05578	0.048472	
Sample_29	0.092688	0.029792	0.627977	0.001623	0.188295	0.059624	
Sample_30	0.052892	0.028553	0.456158	0.00309	0.415676	0.04363	
Sample_31	0.039111	0.910604	0.004866	0.001356	0.036859	0.007203	
Sample_32	0.0	2e-06	0.000257	0.998462	0.000244	0.001034	
Sample_33	2e-06	0.001047	0.000536	0.99731	3e-06	0.001102	
