	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	
Sample_1	0.007305	0.237975	0.280499	0.359226	0.073655	0.019379	0.021961	
Sample_2	0.13523	0.017872	0.0102	0.828955	0.0	0.000924	0.006818	
Sample_3	0.080683	0.4249	0.096566	0.136491	0.0	0.006774	0.254585	
Sample_4	0.105218	0.447794	0.058693	0.114702	0.014496	0.049381	0.209717	
Sample_5	0.161326	0.464429	0.002711	0.120954	1e-06	0.003446	0.247132	
Sample_6	0.132563	0.405953	0.004542	0.179221	0.0	0.02034	0.257382	
Sample_7	0.042989	0.477802	0.025612	0.197434	0.0	0.030479	0.225684	
Sample_8	0.071264	0.495307	0.035006	0.161085	0.010755	0.026846	0.199737	
Sample_9	0.092501	0.48423	0.000798	0.203226	0.005114	0.042663	0.171468	
Sample_10	0.12258	0.408454	0.047139	0.211597	1e-06	0.019597	0.190633	
Sample_11	0.110604	0.409188	0.072298	0.22717	0.0	0.020461	0.160279	
Sample_12	0.082935	0.426027	0.049146	0.24295	0.022331	0.025707	0.150904	
Sample_13	0.104621	0.56211	0.024882	0.16584	1e-06	0.010817	0.131729	
Sample_14	0.098068	0.566452	0.000842	0.155689	0.0	0.026099	0.152849	
Sample_15	0.068888	0.563108	0.012225	0.185912	0.0	0.020647	0.149221	
Sample_16	0.151408	0.551982	0.000471	0.121805	1e-06	0.028583	0.145752	
Sample_17	0.138585	0.478392	0.052964	0.157569	1e-06	0.035424	0.137065	
Sample_18	0.067726	0.559304	0.051342	0.11202	1e-06	0.025791	0.183816	
Sample_19	0.109381	0.626393	0.02163	0.151057	0.003784	0.011049	0.076707	
Sample_20	0.121019	0.589788	0.021913	0.166974	1e-06	0.020089	0.080216	
Sample_21	0.10499	0.645834	0.034854	0.12278	1e-06	0.038203	0.053338	
Sample_22	0.085235	0.638425	0.052276	0.074995	0.016328	0.024354	0.108388	
Sample_23	0.003732	0.647351	0.074221	0.162057	1e-06	0.008098	0.10454	
Sample_24	0.042206	0.567144	0.073984	0.168184	1e-06	0.011533	0.136947	
Sample_25	0.060523	0.612199	0.059815	0.148504	1e-06	0.027089	0.091869	
Sample_26	0.046525	0.657003	0.042142	0.127849	0.0	0.010527	0.115954	
Sample_27	0.064436	0.614845	0.013152	0.162304	1e-06	0.035159	0.110103	
Sample_28	0.026098	0.532569	0.124685	0.217489	1e-06	0.01091	0.088248	
Sample_29	0.000654	0.56829	0.106637	0.249681	0.010899	0.018655	0.045184	
Sample_30	0.000851	0.609223	0.069084	0.23459	0.0	0.00011	0.086141	
Sample_31	0.000852	0.623987	0.076339	0.241444	1e-06	0.00267	0.054707	
Sample_32	0.002109	0.599831	0.037447	0.253932	2e-06	0.018831	0.087848	
Sample_33	0.046703	0.626501	0.035409	0.22838	0.019136	0.024442	0.019429	
Sample_34	0.087153	0.498101	0.02837	0.238937	0.0	0.009552	0.137887	
Sample_35	0.032367	0.537559	0.023823	0.237823	0.0	0.001951	0.166477	
Sample_36	0.081238	0.53961	0.03987	0.218775	0.0	0.023288	0.097218	
Sample_37	0.090237	0.537297	0.066769	0.207886	1e-06	7.3e-05	0.097737	
