	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	
Sample_1	0.167602	0.0	0.255164	0.038686	0.040998	0.0	1e-06	0.033186	0.041176	0.324771	0.038845	0.042716	0.016855	
Sample_2	0.194256	0.008461	0.22498	0.044087	0.078882	0.0	0.011105	0.03464	0.010188	0.360383	0.005184	0.01336	0.014473	
Sample_3	0.13396	0.0	0.240132	0.095077	0.068314	0.0	0.017876	0.005872	0.0109	0.299678	0.039543	0.062276	0.026372	
Sample_4	0.177187	0.0	0.210492	0.128729	0.040714	0.0091	0.002318	0.021638	0.011041	0.300281	0.021537	0.066896	0.010066	
Sample_5	0.164292	0.0	0.261001	0.066169	0.013438	0.0	1e-06	0.012732	0.048406	0.24737	0.023904	0.124454	0.038232	
Sample_6	0.086021	0.0	0.314767	0.082695	0.038858	0.0	0.008952	0.020045	0.002764	0.32777	0.045492	0.06286	0.009777	
Sample_7	0.062943	0.004443	0.323737	0.056399	0.079021	0.006583	0.0	0.021357	0.01176	0.330358	0.034413	0.059837	0.009149	
Sample_8	0.08509	0.0	0.359849	0.059678	0.027857	0.008537	1e-06	0.004004	0.030856	0.354866	0.035249	0.032264	0.001749	
Sample_9	0.087846	0.0	0.342182	0.086961	0.046627	0.0	0.0	0.020598	0.006436	0.291037	0.014252	0.092264	0.011797	
Sample_10	0.066301	0.008832	0.338004	0.07192	0.051814	0.0	1e-06	0.023736	0.040762	0.291688	0.031926	0.058548	0.016469	
Sample_11	0.111168	0.0	0.315853	0.058423	0.022901	0.0	0.007186	0.04954	0.014475	0.310589	0.001229	0.090991	0.017644	
Sample_12	0.115828	0.01016	0.30344	0.061348	0.020403	0.0	0.004133	0.024841	0.024212	0.296374	0.051874	0.057767	0.029621	
Sample_13	0.096436	0.0	0.26257	0.067468	0.022011	0.015732	0.011626	0.021601	0.01274	0.368197	0.027726	0.078151	0.015743	
