	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	
Sample_1	0.022401	0.01384	0.025613	0.06916	3.9e-05	0.007887	0.023138	0.826817	0.011101	5e-06	
Sample_2	2e-06	0.0	0.040749	0.014091	0.006132	3e-06	0.017024	0.921995	1e-06	3e-06	
Sample_3	0.207791	0.0	0.057014	0.000146	0.03758	5e-06	3.9e-05	0.697416	2e-06	6e-06	
Sample_4	0.941991	0.0	3e-06	0.013673	0.016518	0.01968	0.008128	3e-06	1e-06	3e-06	
Sample_5	0.026469	0.045632	0.103539	0.03017	0.114987	0.015306	0.432602	0.061614	0.047438	0.122243	
Sample_6	0.006678	0.034816	0.027922	0.139625	0.105535	0.066541	0.351726	0.058471	0.031601	0.177085	
Sample_7	4e-06	0.068626	1.6e-05	0.102578	0.288111	0.019852	0.437924	0.031302	2e-06	0.051584	
Sample_8	5e-06	0.0	1.8e-05	0.009475	0.008449	5e-06	0.967058	0.014983	2e-06	5e-06	
Sample_9	3e-06	0.0	0.017638	0.030485	0.075707	4e-06	0.824397	1.7e-05	1e-06	0.051747	
Sample_10	0.071871	0.147588	1.5e-05	0.288126	6.6e-05	0.161479	0.314984	0.015859	4e-06	9e-06	
Sample_11	0.141054	0.070825	0.092525	0.115563	0.304798	8e-06	0.113823	0.111614	0.021447	0.028344	
Sample_12	0.071096	0.023839	0.014946	0.110905	0.406234	7e-06	8e-05	0.221923	0.041811	0.10916	
Sample_13	5e-06	0.0	0.009962	0.088883	0.747756	0.008998	0.061601	1.3e-05	0.009301	0.07348	
Sample_14	5e-06	0.0	0.018347	0.170848	0.737534	0.037364	6.2e-05	0.009147	0.026685	8e-06	
Sample_15	2e-06	0.25477	6e-06	5.4e-05	0.656306	0.008732	0.000115	0.080006	1e-06	8e-06	
