	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	
Sample_1	0.111427	0.0	0.018399	0.602305	0.267869	
Sample_2	0.123769	0.0	0.012342	0.597708	0.266181	
Sample_3	0.115954	0.0	0.011912	0.632395	0.239738	
Sample_4	0.151622	1e-06	0.01627	0.553752	0.278355	
Sample_5	0.135973	0.016316	9e-06	0.513385	0.334317	
Sample_6	0.1337	0.012529	9e-06	0.515276	0.338487	
Sample_7	0.025233	0.036762	0.039018	0.584363	0.314624	
Sample_8	0.12304	0.062718	0.094998	0.516169	0.203074	
Sample_9	0.233719	0.0	0.019129	0.563052	0.1841	
Sample_10	0.194999	0.0	0.045449	0.555712	0.203839	
Sample_11	0.27162	0.021585	8e-06	0.497546	0.209241	
Sample_12	0.104565	0.05022	0.056481	0.420885	0.367849	
Sample_13	0.051601	0.0	0.020796	0.820554	0.107048	
Sample_14	0.03664	0.0	0.031502	0.815378	0.11648	
Sample_15	0.024112	0.0	0.033388	0.839626	0.102874	
Sample_16	0.030372	0.0	0.047452	0.802149	0.120026	
Sample_17	0.033477	0.0	0.056997	0.795943	0.113582	
Sample_18	0.029806	0.026193	0.028931	0.798656	0.116414	
Sample_19	0.024144	1e-06	1e-05	0.86663	0.109215	
Sample_20	0.020351	0.0	9e-06	0.857945	0.121695	
Sample_21	0.033737	0.015259	0.00902	0.830981	0.111003	
Sample_22	0.037063	0.020046	9e-06	0.835549	0.107334	
Sample_23	0.025989	0.0	0.003747	0.841625	0.128638	
Sample_24	0.027137	1e-06	8e-06	0.836298	0.136556	
Sample_25	0.018401	0.0	0.006651	0.829975	0.144973	
Sample_26	0.040256	0.05374	6e-06	0.801967	0.104031	
Sample_27	0.000813	0.037321	0.016169	0.875564	0.070134	
Sample_28	0.003495	0.028853	1.1e-05	0.899976	0.067664	
Sample_29	0.022604	0.042767	0.007179	0.850333	0.077118	
Sample_30	0.012932	0.011242	8e-06	0.937225	0.038593	
