	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	
Sample_1	0.061058	0.329378	0.101699	0.102351	0.07027	0.118591	0.030068	0.107316	0.008581	0.070687	
Sample_2	0.05217	0.392297	0.0947	0.134371	0.076542	0.09615	0.04753	0.072937	0.017892	0.015409	
Sample_3	0.011138	0.35696	0.169139	0.120776	0.03299	0.117689	0.021522	0.087901	0.013737	0.068146	
Sample_4	0.017188	0.355229	0.179395	0.100067	0.032485	0.120579	0.026597	0.061607	0.020294	0.086559	
Sample_5	0.010452	0.382352	0.156602	0.08855	0.035557	0.138596	0.030369	0.07027	0.016973	0.070277	
Sample_6	0.025007	0.358815	0.159447	0.120168	0.047765	0.137042	0.028398	0.049457	0.008564	0.065338	
Sample_7	0.039886	0.342645	0.149205	0.111251	0.056604	0.121361	0.025018	0.08449	0.006711	0.062829	
Sample_8	0.013726	0.307061	0.185355	0.089941	0.027323	0.136557	0.053926	0.064756	0.055225	0.06613	
Sample_9	0.042732	0.396927	0.153544	0.190907	0.021369	0.085112	0.026899	0.027643	0.017694	0.037173	
Sample_10	0.036189	0.376494	0.124895	0.151803	0.032897	0.101828	0.022652	0.068152	0.015977	0.069113	
Sample_11	0.071339	0.37375	0.167075	0.138141	0.028223	0.066366	0.025478	0.036327	0.020964	0.072338	
Sample_12	0.000366	0.400749	0.208671	0.206638	0.047835	0.064656	0.014509	0.031073	0.004775	0.020729	
Sample_13	0.015589	0.399322	0.187247	0.181544	0.025987	0.035173	0.017857	0.043387	0.013127	0.080767	
Sample_14	0.03463	0.399614	0.130527	0.201384	0.042272	0.047692	0.006376	0.098403	0.002545	0.036558	
Sample_15	0.021603	0.444959	0.149667	0.136403	0.02808	0.066756	0.027236	0.033882	0.01906	0.072352	
Sample_16	0.01816	0.422302	0.1279	0.112859	0.019901	0.104631	0.034271	0.054196	0.018524	0.087255	
Sample_17	0.015882	0.506444	0.123928	0.12633	0.009823	0.104187	0.027798	0.0339	0.0164	0.035307	
Sample_18	0.007181	0.494363	0.121764	0.09128	0.027231	0.09077	0.030601	0.057927	0.016316	0.062569	
Sample_19	0.010463	0.41333	0.045814	0.180947	0.032293	0.141538	0.024201	0.063421	0.011546	0.076448	
Sample_20	0.025903	0.262984	0.091499	0.113059	0.036445	0.162602	0.048594	0.092859	0.023808	0.142247	
Sample_21	0.008519	0.287119	0.121751	0.133536	0.041239	0.135021	0.02788	0.064542	0.029778	0.150615	
Sample_22	0.010189	0.35649	0.122278	0.085216	0.040327	0.09605	0.040012	0.047629	0.032883	0.168925	
Sample_23	0.030236	0.299513	0.134364	0.063843	0.085614	0.090905	0.071251	0.109961	0.022392	0.091921	
Sample_24	0.01015	0.251486	0.145997	0.101499	0.078377	0.112902	0.073723	0.098002	0.022447	0.105417	
Sample_25	0.02848	0.290891	0.160227	0.095709	0.091968	0.088314	0.027396	0.05961	0.029087	0.128317	
Sample_26	0.041472	0.268911	0.169706	0.113733	0.04733	0.110984	0.03498	0.082939	0.008206	0.121739	
Sample_27	0.000203	0.298333	0.354654	0.107431	0.042341	0.047589	0.023786	0.052451	0.01254	0.060672	
Sample_28	0.006383	0.321212	0.342767	0.102103	0.028357	0.055224	0.019897	0.036702	0.013525	0.07383	
Sample_29	0.010678	0.312061	0.369303	0.087569	0.048018	0.050901	0.029474	0.017917	0.023081	0.050997	
Sample_30	0.008303	0.336263	0.350089	0.068463	0.020208	0.091067	0.01779	0.037179	0.010386	0.060252	
Sample_31	0.011633	0.315511	0.301149	0.094957	0.031271	0.076929	0.032766	0.057708	0.01177	0.066307	
Sample_32	0.000258	0.322262	0.298395	0.08239	0.029478	0.07314	0.034492	0.063695	0.018265	0.077626	
Sample_33	0.010141	0.310259	0.287955	0.107448	0.039755	0.058087	0.028555	0.036858	0.01457	0.106373	
Sample_34	0.008556	0.273834	0.328635	0.093592	0.025797	0.052963	0.037607	0.089719	0.01631	0.072986	
Sample_35	0.020662	0.287972	0.325915	0.104884	0.051116	0.023843	0.013156	0.079354	0.023258	0.069841	
Sample_36	0.000694	0.33758	0.361786	0.122693	0.026891	0.068703	0.004511	0.006786	0.025409	0.044948	
Sample_37	0.000335	0.313229	0.335044	0.143941	0.027029	0.062458	0.017216	0.02068	0.026269	0.053799	
Sample_38	0.004116	0.34855	0.358219	0.146231	0.017572	0.048208	0.007916	0.026259	0.009722	0.033207	
Sample_39	0.005184	0.308933	0.298467	0.136543	0.0347	0.071862	0.033332	0.033017	0.025171	0.05279	
Sample_40	0.000494	0.333712	0.338888	0.153549	0.019603	0.021717	0.022635	0.051622	0.013554	0.044226	
Sample_41	0.014231	0.348225	0.334461	0.143035	0.048639	0.02504	0.012472	0.023791	0.01271	0.037396	
Sample_42	0.021115	0.315993	0.290318	0.056409	0.079295	0.091773	0.027946	0.069981	0.005578	0.041592	
Sample_43	0.004065	0.354922	0.299264	0.076795	0.064579	0.07365	0.012843	0.046952	0.023338	0.043591	
Sample_44	0.023786	0.329625	0.300801	0.089728	0.087886	0.035663	0.02476	0.051564	0.005513	0.050674	
Sample_45	0.024937	0.31337	0.275118	0.125304	0.062516	0.085738	0.017344	0.021793	0.014913	0.058967	
Sample_46	0.009376	0.297463	0.279763	0.107307	0.045707	0.105236	0.037085	0.025395	0.013634	0.079034	
Sample_47	0.000386	0.282259	0.265477	0.118101	0.071713	0.118906	0.021149	0.043114	0.016256	0.06264	
Sample_48	0.012873	0.261173	0.263261	0.149213	0.05624	0.1364	0.006799	0.027032	0.021551	0.065459	
Sample_49	0.069918	0.292643	0.248873	0.090151	0.048357	0.104828	0.026279	0.035238	0.022179	0.061534	
Sample_50	0.003504	0.326377	0.268508	0.111909	0.025042	0.085065	0.006186	0.080543	0.011475	0.08139	
Sample_51	0.012847	0.310551	0.232409	0.093954	0.041613	0.111837	0.034732	0.061366	0.021917	0.078775	
Sample_52	0.001383	0.277266	0.278537	0.086097	0.018583	0.144822	0.03152	0.048485	0.024678	0.08863	
Sample_53	0.013118	0.403469	0.183532	0.114001	0.024947	0.090351	0.018076	0.054335	0.012229	0.085943	
Sample_54	0.011849	0.396784	0.227377	0.118891	0.018746	0.103157	0.014013	0.036725	0.015297	0.057162	
Sample_55	0.046748	0.343379	0.220338	0.1093	0.038194	0.085032	0.025265	0.059409	0.018019	0.054317	
Sample_56	0.002315	0.438499	0.247112	0.061293	0.023659	0.069332	0.020793	0.047204	0.022232	0.067561	
Sample_57	0.003109	0.412664	0.233333	0.088312	0.014387	0.083955	0.02718	0.038166	0.022962	0.075931	
Sample_58	0.019809	0.426258	0.265776	0.071888	0.032387	0.041179	0.019873	0.036813	0.00796	0.078056	
Sample_59	0.02115	0.421134	0.202693	0.108056	0.046797	0.051419	0.025306	0.057369	0.014667	0.051409	
Sample_60	0.015709	0.394325	0.184273	0.119987	0.051046	0.050825	0.032569	0.058483	0.017016	0.075767	
Sample_61	0.014899	0.396047	0.151516	0.100574	0.066691	0.062977	0.029067	0.097039	0.008783	0.072408	
Sample_62	0.010501	0.319775	0.261739	0.109359	0.04869	0.048664	0.020477	0.056836	0.064796	0.059163	
Sample_63	0.008325	0.329988	0.273466	0.102003	0.04033	0.047355	0.022308	0.057808	0.057475	0.060941	
Sample_64	0.006157	0.349982	0.246636	0.153041	0.042771	0.052807	0.010801	0.025144	0.046417	0.066244	
Sample_65	0.010214	0.345087	0.252948	0.098444	0.071026	0.071117	0.010373	0.019519	0.038336	0.082936	
Sample_66	0.019153	0.359829	0.2292	0.088423	0.034333	0.068475	0.030756	0.039983	0.03164	0.098207	
Sample_67	0.008004	0.372135	0.268457	0.102328	0.034946	0.069733	0.028585	0.048336	0.018122	0.049356	
Sample_68	0.006447	0.353108	0.28581	0.124537	0.016095	0.075224	0.024159	0.04608	0.012804	0.055734	
Sample_69	0.009458	0.373583	0.275638	0.12736	0.017018	0.039733	0.009778	0.045459	0.022202	0.079771	
Sample_70	0.009296	0.427693	0.259313	0.136021	0.018168	0.036726	0.02303	0.039775	0.008055	0.041922	
Sample_71	0.006013	0.394844	0.266854	0.160594	0.017045	0.058885	0.014212	0.049517	0.001586	0.03045	
Sample_72	0.005344	0.448195	0.303023	0.104772	0.018279	0.035759	0.015158	0.021112	0.008203	0.040156	
Sample_73	0.004278	0.392184	0.270787	0.096243	0.050785	0.044428	0.0265	0.06812	0.014048	0.032628	
Sample_74	0.00845	0.256202	0.227152	0.167032	0.080441	0.086708	0.01782	0.027631	0.023115	0.10545	
Sample_75	0.01405	0.289626	0.264465	0.143878	0.053088	0.069849	0.011166	0.041134	0.009843	0.1029	
Sample_76	0.000314	0.323871	0.24597	0.166361	0.029781	0.040076	0.031965	0.027703	0.011781	0.122178	
Sample_77	0.041441	0.258901	0.194868	0.14351	0.053189	0.047141	0.047785	0.056945	0.017512	0.138708	
Sample_78	0.005377	0.285308	0.209717	0.16503	0.048271	0.071103	0.024413	0.09285	0.019629	0.078302	
Sample_79	0.007356	0.323686	0.225762	0.164594	0.04632	0.03115	0.022239	0.084104	0.012173	0.082615	
Sample_80	0.039087	0.337024	0.23551	0.117249	0.045112	0.026638	0.021778	0.085914	0.000903	0.090786	
Sample_81	0.012148	0.33258	0.255342	0.143073	0.063647	0.067394	0.015302	0.086261	0.002659	0.021594	
