	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	
Sample_1	0.071672	0.217797	0.032812	0.007111	0.131717	0.026797	0.512094	
Sample_2	0.044224	0.245644	0.014249	0.011692	0.113097	0.066721	0.504372	
Sample_3	0.114961	0.232236	0.016075	0.013108	0.087042	0.019584	0.516994	
Sample_4	0.114336	0.219185	0.057801	0.002188	0.125583	0.05447	0.426438	
Sample_5	0.018836	0.174183	0.021658	0.007422	0.148644	0.021128	0.60813	
Sample_6	0.082776	0.20553	0.01506	0.025083	0.179356	0.052114	0.440082	
Sample_7	0.076945	0.189599	0.032108	0.0111	0.210565	0.050892	0.428791	
Sample_8	0.024819	0.206173	0.037415	0.009342	0.249081	0.066092	0.407078	
Sample_9	0.145774	0.13233	0.026103	0.011535	0.137177	0.02838	0.518701	
Sample_10	0.110706	0.145586	0.045563	0.011822	0.161505	0.022672	0.502146	
Sample_11	0.191878	0.085251	0.018985	0.009408	0.147567	0.059457	0.487455	
Sample_12	0.177827	0.145838	0.046917	0.016275	0.148824	0.072647	0.391672	
Sample_13	0.142624	0.167676	0.049051	0.006865	0.139449	0.060625	0.433711	
Sample_14	0.163462	0.17379	0.08678	0.01829	0.089932	0.08679	0.380956	
Sample_15	0.165112	0.186734	0.024287	0.0517	0.060081	0.087696	0.424391	
Sample_16	0.22966	0.148219	0.024349	0.016206	0.031544	0.059557	0.490465	
Sample_17	0.138485	0.302621	0.021421	0.019582	0.113255	0.021311	0.383325	
Sample_18	0.156263	0.258509	0.012908	0.011395	0.112904	0.028476	0.419544	
Sample_19	0.129569	0.253143	0.094567	0.039078	0.113003	0.019349	0.351291	
Sample_20	0.081543	0.308312	0.021095	0.029577	0.021251	0.069862	0.46836	
Sample_21	0.134709	0.174251	0.025835	0.023657	0.07516	0.062171	0.504217	
Sample_22	0.103432	0.156079	0.019407	0.020004	0.079988	0.075173	0.545918	
Sample_23	0.16638	0.128616	0.021186	0.021744	0.078554	0.053829	0.529691	
Sample_24	0.171114	0.12084	0.004257	0.007248	0.086612	0.048214	0.561715	
Sample_25	0.079165	0.142059	0.01808	0.003682	0.072373	0.031168	0.653473	
Sample_26	0.080777	0.13514	0.011495	0.013021	0.050981	0.028523	0.680063	
Sample_27	0.096416	0.138119	0.002832	0.017362	0.055702	0.044889	0.64468	
Sample_28	0.114154	0.127833	0.018077	0.000235	0.032562	0.056222	0.650915	
Sample_29	0.094176	0.106295	0.025025	0.047517	0.028808	0.05891	0.639268	
Sample_30	0.130283	0.129897	0.009586	0.015219	0.060408	0.02357	0.631037	
Sample_31	0.134358	0.140075	0.002985	0.022483	0.087479	0.023906	0.588714	
Sample_32	0.113427	0.113249	0.02094	0.021531	0.085692	0.054364	0.590797	
Sample_33	0.111727	0.11378	0.018379	0.01301	0.082332	0.047769	0.613002	
Sample_34	0.113547	0.118654	0.010143	0.040694	0.086998	0.031357	0.598606	
Sample_35	0.119505	0.116714	0.035596	0.012343	0.036458	0.092839	0.586546	
Sample_36	0.178539	0.110882	0.026135	0.014335	0.001646	0.023896	0.644567	
Sample_37	0.18525	0.071144	0.028775	0.005527	0.05674	0.022675	0.629889	
Sample_38	0.124046	0.075913	0.013841	0.024425	0.09043	0.06381	0.607534	
Sample_39	0.152932	0.072762	0.008125	0.034304	0.098766	0.022176	0.610935	
Sample_40	0.134852	0.036838	0.034766	0.000154	0.090873	0.037647	0.66487	
Sample_41	0.121306	0.069795	0.01246	0.017865	0.145215	0.049573	0.583786	
Sample_42	0.099177	0.073378	0.020357	0.021067	0.123009	0.062664	0.600349	
Sample_43	0.096508	0.113406	0.022698	0.028392	0.121896	0.039129	0.57797	
Sample_44	0.13097	0.039206	0.034432	0.006247	0.161345	0.015751	0.612049	
Sample_45	0.021486	0.092118	0.020006	0.000229	0.10908	0.007078	0.750003	
Sample_46	0.061551	0.067541	0.010693	0.011109	0.129873	0.039458	0.679774	
Sample_47	0.076901	0.074509	0.009133	0.022641	0.10378	0.07882	0.634217	
Sample_48	0.05372	0.10621	0.033427	0.007938	0.097981	0.082059	0.618664	
Sample_49	0.067188	0.075233	0.037932	0.026956	0.057184	0.039928	0.695579	
Sample_50	0.052632	0.083362	0.004452	0.002731	0.052015	0.068905	0.735903	
Sample_51	0.067756	0.053081	0.01242	0.012528	0.045294	0.055211	0.753709	
Sample_52	0.076822	0.030975	0.014264	0.019927	0.055874	0.059355	0.742783	
Sample_53	0.068037	0.011333	0.013394	0.01929	0.04354	0.060401	0.784005	
Sample_54	0.052537	0.033294	0.016549	0.005336	0.022334	0.082823	0.787128	
Sample_55	0.040793	0.027372	0.040433	0.024786	0.044779	0.046111	0.775726	
Sample_56	0.123152	0.074927	0.009157	0.007548	0.063712	0.019339	0.702165	
Sample_57	0.105528	0.075475	0.009457	0.022541	0.052444	0.023727	0.710827	
Sample_58	0.095693	0.086427	0.006946	0.004148	0.044032	0.050301	0.712453	
Sample_59	0.085196	0.05079	0.010311	0.00277	0.079764	0.006965	0.764203	
Sample_60	0.081968	0.067022	0.013919	0.012173	0.020435	0.03502	0.769462	
Sample_61	0.098745	0.03988	0.024417	0.040259	0.031198	0.020545	0.744956	
Sample_62	0.117499	0.075935	0.017556	0.000233	0.007326	0.060422	0.721028	
Sample_63	0.144323	0.044353	0.015123	8e-05	0.000493	0.048948	0.74668	
Sample_64	0.064273	0.106698	0.009289	0.011002	0.028034	0.011101	0.769603	
Sample_65	0.023908	0.093981	0.024507	0.017787	0.05113	0.000255	0.788431	
Sample_66	0.036836	0.164489	0.014042	0.017471	0.036516	0.000386	0.730261	
Sample_67	0.111992	0.088232	0.100259	0.038805	0.030745	0.07364	0.556329	
Sample_68	0.164872	0.044038	0.021688	0.056922	0.037062	0.0994	0.576018	
Sample_69	0.071676	0.105022	0.003833	0.003432	0.25453	0.029282	0.532225	
Sample_70	0.094468	0.067575	0.096641	0.008078	0.277931	0.041464	0.413842	
Sample_71	0.324567	0.186153	0.049563	0.024441	0.061664	0.039798	0.313813	
Sample_72	0.429117	0.098209	0.027065	0.039779	0.081347	0.059431	0.265052	
Sample_73	0.442185	0.03862	0.008337	0.018102	0.015224	0.030384	0.447148	
Sample_74	0.257617	0.075406	0.01978	0.036368	0.167864	0.03729	0.405674	
Sample_75	0.052762	0.003033	0.287089	0.066985	0.025209	0.223882	0.341041	
Sample_76	0.112077	0.0916	0.120083	0.026872	0.084201	0.260136	0.305033	
Sample_77	0.044101	0.139324	0.009973	0.010988	0.407137	0.026943	0.361535	
Sample_78	0.073375	0.250864	0.023436	0.009533	0.280533	0.046641	0.315618	
Sample_79	0.055856	0.140946	0.113077	0.022713	0.367471	0.082241	0.217697	
Sample_80	0.009892	0.020349	0.012143	0.002661	0.787606	0.01948	0.147869	
Sample_81	0.045392	0.073767	0.020526	0.012368	0.671003	0.024164	0.15278	
Sample_82	0.128408	0.12507	0.030451	0.019938	0.563587	0.09822	0.034327	
Sample_83	0.039078	0.438095	0.04628	0.006008	0.218553	0.023745	0.228241	
Sample_84	0.206793	0.279811	0.107063	0.011024	0.12996	0.028341	0.237009	
Sample_85	0.000169	0.979187	0.002669	3.1e-05	0.000101	0.013136	0.004707	
Sample_86	0.61761	0.126097	0.069232	0.02356	0.023368	0.03882	0.101313	
Sample_87	0.897965	0.00912	0.005299	0.017041	0.025916	0.005489	0.039169	
Sample_88	0.002611	0.034103	0.261002	0.094385	0.001197	0.530456	0.076247	
Sample_89	0.03688	0.0872	0.326388	0.083541	0.001696	0.414595	0.049702	
Sample_90	0.053325	0.078797	0.026266	0.040682	0.000562	0.721416	0.078953	
Sample_91	0.027303	0.066608	0.107881	0.030126	0.003988	0.738516	0.025578	
Sample_92	0.016063	0.126447	0.108673	0.071792	0.023608	0.603223	0.050194	
Sample_93	0.082611	0.134201	0.07838	0.047737	0.035434	0.562013	0.059624	
Sample_94	0.060395	0.137752	0.179414	0.018576	0.043365	0.518544	0.041955	
Sample_95	0.068888	0.083161	0.178045	0.04065	0.014619	0.599303	0.015334	
Sample_96	0.017047	0.116768	0.064793	0.040401	0.187655	0.362973	0.210362	
Sample_97	0.044622	0.15787	0.015539	0.026896	0.059249	0.438528	0.257296	
Sample_98	0.040146	0.055472	0.462701	0.073616	0.002894	0.183135	0.182037	
Sample_99	0.013472	0.046016	0.455111	0.070929	0.022209	0.193077	0.199185	
Sample_100	0.008122	0.016264	0.603173	0.025896	0.0011	0.134471	0.210973	
Sample_101	0.058864	0.03916	0.475327	0.030196	0.103259	0.127917	0.165278	
Sample_102	0.017904	0.016459	0.6101	0.000764	0.00863	0.234381	0.111762	
Sample_103	0.000437	0.030346	0.631916	0.031496	0.04028	0.188718	0.076807	
Sample_104	0.065371	0.001584	0.466341	0.070304	0.042651	0.285756	0.067993	
Sample_105	0.00815	0.004387	0.853529	0.020951	0.026192	0.018016	0.068776	
Sample_106	0.003299	0.051972	0.851412	0.0197	0.014346	0.001403	0.057868	
Sample_107	0.008698	0.019871	0.927286	0.01289	0.003802	0.016915	0.010539	
Sample_108	0.000222	0.017363	0.963543	0.010273	0.000375	0.004489	0.003736	
Sample_109	0.000174	0.003996	0.952336	0.019759	0.000553	0.014824	0.008358	
Sample_110	0.009547	0.001335	0.746752	0.037923	0.009785	0.129249	0.065409	
Sample_111	0.011317	0.003112	0.048422	0.931647	0.000961	0.001544	0.002998	
