	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	
Sample_1	0.076795	0.642488	0.182023	0.076281	0.022414	
Sample_2	0.094217	0.687623	0.19947	0.018634	5.6e-05	
Sample_3	0.103167	0.654909	0.178452	2e-06	0.063469	
Sample_4	0.031055	0.699786	0.216141	0.006408	0.046611	
Sample_5	0.034013	0.699982	0.217694	3e-06	0.048308	
Sample_6	0.048771	0.704045	0.210353	2e-06	0.036828	
Sample_7	0.045525	0.712227	0.204468	0.020139	0.017641	
Sample_8	0.01098	0.742454	0.20962	2e-06	0.036944	
Sample_9	1.5e-05	0.727644	0.206067	0.024334	0.04194	
Sample_10	0.009352	0.818754	0.10436	0.022813	0.04472	
Sample_11	0.001432	0.802359	0.136741	2e-06	0.059466	
Sample_12	0.051854	0.764444	0.142499	0.014718	0.026486	
Sample_13	0.029437	0.755491	0.170778	0.008267	0.036027	
Sample_14	0.076641	0.772533	0.079513	1e-06	0.071311	
Sample_15	0.048523	0.661095	0.145921	0.014162	0.1303	
Sample_16	0.004735	0.95973	0.014597	0.008257	0.012682	
Sample_17	0.204119	0.618916	0.140283	3e-06	0.036679	
Sample_18	0.210783	0.561957	0.184854	2e-06	0.042403	
Sample_19	0.002063	0.61796	0.079524	1e-06	0.300451	
Sample_20	0.468509	0.427883	0.067663	1e-06	0.035943	
Sample_21	0.364363	0.40886	0.15654	0.006878	0.063358	
Sample_22	0.038716	0.409458	0.071275	0.271794	0.208756	
Sample_23	0.017921	0.330448	0.187867	0.444089	0.019675	
Sample_24	4e-06	0.028877	0.952777	0.003326	0.015015	
Sample_25	0.006493	0.042794	0.935118	0.002405	0.013191	
Sample_26	1e-05	0.056739	0.933978	1e-06	0.009271	
Sample_27	0.003102	0.046421	0.911503	0.026153	0.012821	
Sample_28	0.010677	0.012182	0.975833	1e-06	0.001307	
Sample_29	0.012722	9e-05	0.968629	2e-06	0.018557	
Sample_30	0.003356	0.076148	0.882797	0.0	0.037699	
Sample_31	0.005285	0.143866	0.757523	1e-06	0.093325	
Sample_32	0.010955	0.135228	0.512411	1e-06	0.341405	
Sample_33	6e-06	2.7e-05	1e-05	0.0	0.999957	
Sample_34	6e-06	2.6e-05	1e-05	0.0	0.999957	
Sample_35	9e-06	6.8e-05	2e-05	1e-06	0.999902	
Sample_36	9e-06	6.8e-05	2e-05	1e-06	0.999902	
Sample_37	0.003125	2.9e-05	1.1e-05	0.0	0.996835	
Sample_38	0.007892	0.004556	2.5e-05	1e-06	0.987526	
Sample_39	1e-05	0.011013	3.4e-05	1e-06	0.988942	
Sample_40	1.7e-05	0.356073	0.17129	2e-06	0.472618	
Sample_41	0.986695	1.7e-05	8e-06	0.0	0.013279	
Sample_42	0.986921	1.7e-05	8e-06	0.0	0.013054	
Sample_43	0.998407	2.9e-05	0.001551	0.0	1.3e-05	
Sample_44	0.862302	0.126342	0.00839	1e-06	0.002966	
Sample_45	0.022266	0.069434	0.052113	0.838222	0.017964	
Sample_46	0.011472	0.077748	0.045306	0.839056	0.026417	
Sample_47	0.003477	0.083429	0.055211	0.853762	0.004122	
Sample_48	0.009401	0.068782	0.027284	0.876453	0.01808	
Sample_49	0.010335	0.077681	0.02359	0.873945	0.014449	
Sample_50	0.011797	0.071109	0.018857	0.872929	0.025308	
Sample_51	0.007103	0.057799	0.025752	0.87836	0.030987	
Sample_52	0.007424	0.059337	0.022976	0.884616	0.025647	
Sample_53	0.004769	0.048469	0.027038	0.914877	0.004847	
Sample_54	0.00734	0.049509	0.027905	0.906955	0.008292	
Sample_55	0.006462	0.038488	0.039858	0.901599	0.013593	
Sample_56	0.01957	0.033829	0.020821	0.92346	0.00232	
Sample_57	0.019321	0.032922	0.037027	0.907787	0.002943	
Sample_58	0.003346	0.026907	0.011969	0.952647	0.005132	
Sample_59	0.003714	0.026608	0.015943	0.944354	0.009382	
Sample_60	0.014256	0.012562	0.016625	0.95544	0.001116	
Sample_61	0.004856	0.021176	0.034195	0.929652	0.010122	
Sample_62	0.018892	0.022483	0.019173	0.88007	0.059382	
Sample_63	0.10217	0.041622	0.02082	0.814526	0.020862	
Sample_64	0.019049	0.12496	0.051136	0.76375	0.041106	
Sample_65	0.022924	0.103028	0.070803	0.779132	0.024112	
Sample_66	0.013093	0.189375	0.041544	0.734786	0.021202	
