	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	
Sample_1	0.0	0.0	0.0	0.661538	0.008398	0.039209	1e-06	4e-06	0.082941	0.207909	
Sample_2	0.0	0.032821	0.101291	0.408508	0.379554	5e-06	2e-06	0.066763	0.011053	3e-06	
Sample_3	0.007539	0.0	0.0	0.126292	0.013518	0.016366	0.015757	0.022985	1.3e-05	0.797529	
Sample_4	0.0	0.021283	0.0	0.087786	1.4e-05	0.004614	0.062941	5e-06	0.033684	0.789674	
Sample_5	0.0	0.015701	0.0	0.241177	4e-06	2e-06	0.060591	2e-06	0.015732	0.66679	
Sample_6	0.0	0.0	0.0	0.21813	1e-05	3e-06	0.083266	3e-06	0.02373	0.674858	
Sample_7	0.005281	0.013306	0.0	0.236604	2.1e-05	0.151937	0.017298	7e-06	0.129588	0.44596	
Sample_8	0.009699	0.0	0.2419	0.225669	1.6e-05	1.6e-05	0.077542	1.2e-05	0.010587	0.43456	
Sample_9	0.001907	0.0	0.199279	0.311468	0.020579	0.025414	0.052762	4e-06	0.042372	0.346215	
Sample_10	0.0	0.028594	0.0	0.192036	0.018252	0.349932	0.04861	0.01043	0.352137	9e-06	
Sample_11	0.0	0.0	0.0	0.071738	5.6e-05	0.827058	5e-06	1.6e-05	0.067746	0.033382	
Sample_12	0.010397	0.0	0.235661	0.184992	1.9e-05	0.186144	0.212533	8e-06	0.170242	5e-06	
Sample_13	0.0	0.031677	0.0	0.074544	0.013529	0.031907	0.072501	0.023633	0.628874	0.123334	
Sample_14	0.0	0.0	0.001601	0.009469	1.8e-05	0.032022	0.896634	0.002979	0.020756	0.036521	
Sample_15	0.0	0.0	0.018003	0.008795	0.514847	9e-06	0.015488	0.416389	0.026462	7e-06	
Sample_16	0.0	0.0	0.0	9e-06	0.502408	0.03448	0.00393	0.409206	0.049962	5e-06	
Sample_17	0.0	0.0	0.0	6e-06	0.526773	0.033346	0.041983	0.376465	0.021425	2e-06	
Sample_18	0.0	0.0	0.0	0.007648	0.482764	0.035017	0.028951	0.42496	7e-06	0.020654	
Sample_19	0.0	0.0	0.0	1.4e-05	0.469601	0.039236	0.040063	0.381659	0.011174	0.058253	
Sample_20	0.006381	0.0	0.006614	0.010239	0.49321	0.086367	2e-06	0.382677	0.014508	3e-06	
Sample_21	0.0	0.0	0.0	1.4e-05	0.6248	1e-05	4e-06	0.353727	0.01159	0.009855	
Sample_22	0.001251	0.0	0.012285	1.9e-05	0.583448	0.011194	0.028402	0.347769	6e-06	0.015626	
Sample_23	0.0	0.0	0.0	8e-06	0.576192	0.028263	0.00624	0.375801	7e-06	0.013489	
Sample_24	0.0	0.0	0.0	8e-06	0.419961	0.057712	4e-06	0.484932	1e-05	0.037373	
Sample_25	0.0	0.014864	0.0	0.03417	0.476785	0.12482	2e-06	0.278224	0.060461	0.010672	
Sample_26	0.0	0.0	0.0	0.004955	0.603544	0.066828	0.007281	0.242552	0.074833	8e-06	
Sample_27	0.000717	0.010102	0.0	0.00438	0.709332	0.038977	0.006637	0.215204	0.008264	0.006387	
Sample_28	0.0	0.037187	0.0	0.007113	0.691543	0.066258	0.010957	0.175436	8e-06	0.011499	
Sample_29	0.0	0.0	0.0	0.008925	0.7645	0.069584	1e-06	0.152696	5e-06	0.004289	
Sample_30	0.0	0.013059	0.022327	0.017472	0.725432	0.074401	0.012411	0.117268	0.017623	7e-06	
Sample_31	0.0	0.020468	0.0	0.038845	0.648806	0.180358	4e-06	0.096712	0.011535	0.003274	
Sample_32	0.0	0.0	0.020611	4e-06	0.899575	0.013873	0.023659	0.004484	0.010212	0.027582	
Sample_33	0.0	0.025003	0.020432	0.030366	0.373195	0.001834	0.037424	0.19635	0.044162	0.271233	
Sample_34	0.0	0.889989	0.059788	0.025669	3e-06	1e-06	0.004306	0.000153	0.004899	0.015193	
Sample_35	0.999665	0.0	0.0	1e-06	4e-06	1e-06	0.0	1e-06	0.000327	1e-06	
Sample_36	0.998214	0.0	0.0	0.001768	8e-06	3e-06	1e-06	3e-06	2e-06	1e-06	
