	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	
Sample_1	0.110582	0.120396	0.0	0.07356	0.060586	0.229025	0.140946	0.018495	0.059661	0.038095	0.003623	0.11389	0.031139	
Sample_2	0.019874	0.0	0.0	0.0	0.0	0.683785	0.0	3e-06	0.041327	0.0	0.037147	0.195404	0.02246	
Sample_3	0.336939	0.02694	0.000513	0.067227	0.0	0.119706	0.133225	0.016823	0.280532	0.0	0.0023	0.014941	0.000854	
Sample_4	0.372468	0.0	0.000365	0.0	0.0	0.26089	0.0	0.015468	0.165127	0.040315	0.028363	0.087493	0.029509	
Sample_5	0.0	0.0	0.054135	0.0	0.0	1e-06	0.04548	0.047357	0.543693	3e-06	0.111679	0.05833	0.139322	
Sample_6	0.0	0.0	0.254518	0.0	0.0	0.043082	0.0	0.015098	0.247235	0.031296	0.111959	0.104112	0.192701	
Sample_7	0.0	0.0	0.004629	0.0	0.0	1e-06	0.065988	0.050927	0.062044	3e-06	0.255487	0.428374	0.132548	
Sample_8	0.0	0.0	2e-06	0.0	0.011416	1e-06	0.0	0.030279	0.147201	2e-06	0.224289	0.452408	0.134403	
Sample_9	0.043985	0.0	0.009212	0.0	0.0	0.107838	0.0	0.053765	0.094536	2e-06	0.211795	0.364542	0.114325	
Sample_10	0.0	0.0	6e-06	0.0	0.0	1e-06	0.051648	0.012399	0.210773	4e-06	0.182226	0.380897	0.162047	
Sample_11	0.0	0.0	0.016866	0.028589	0.0	1e-06	0.0	0.03274	0.178428	2e-06	0.156823	0.353305	0.233248	
Sample_12	0.043078	0.0	0.014516	0.0	0.0	0.048385	0.0	0.039184	0.162797	0.034832	0.161282	0.296091	0.199835	
Sample_13	0.051586	0.0	0.009922	0.0	0.0	1e-06	0.0	0.027844	0.116967	0.070793	0.192698	0.311828	0.218361	
Sample_14	0.0	0.0	1e-06	0.0	0.0	0.0	0.0	0.037903	0.247986	0.035323	0.157916	0.407937	0.112934	
Sample_15	0.0	0.0	3e-06	0.0	0.0	0.0	0.0	0.077331	0.237578	0.02917	0.10794	0.46934	0.078637	
