	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	Predicted_signature_14	Predicted_signature_15	Predicted_signature_16	Predicted_signature_17	Predicted_signature_18	Predicted_signature_19	Predicted_signature_20	Predicted_signature_21	Predicted_signature_22	
Sample_1	0.03571	0.007349	0.0	0.035319	0.03036	0.017889	0.06113	0.023471	0.0	1.9e-05	0.040083	0.008991	0.070321	0.023133	0.0	0.033653	0.213603	0.035085	0.014087	0.08758	0.128652	0.133565	
Sample_2	0.033699	0.009026	0.014177	0.0	0.0	0.024051	0.080962	0.018927	0.0	1.7e-05	0.018062	3e-06	0.05862	6e-06	0.0	0.050768	0.276818	0.012697	0.020077	0.057463	0.144628	0.179999	
Sample_3	0.02495	0.015228	0.0	0.04734	0.0	0.007415	0.066505	0.0	0.0237	0.009826	0.112157	0.029134	0.037461	3e-06	0.0	0.034599	0.29849	0.045626	1e-06	0.029958	0.12284	0.094768	
Sample_4	0.019483	0.03051	0.0	0.044793	0.011136	0.003895	0.0767	0.0	0.0	0.037314	0.10937	2e-06	0.106453	4e-06	0.0	0.009898	0.189035	0.062629	2e-06	0.023169	0.167988	0.107621	
Sample_5	0.0666	0.051503	0.0	0.0	0.0	0.088747	0.147507	0.015437	0.0	7e-06	0.087939	2e-06	0.138122	4e-06	0.0	0.026664	0.232682	0.00768	1e-06	1.3e-05	0.044971	0.09212	
Sample_6	0.144768	0.028025	0.005578	0.0	0.0	0.101583	0.038166	0.0	0.0	2e-06	0.104764	0.006964	0.01016	0.014257	0.0	0.116636	0.286558	0.020974	0.018055	2e-06	0.018896	0.084612	
Sample_7	0.024942	0.013792	0.0	0.014244	0.059458	0.036435	0.128638	0.0	0.0	0.194507	0.013857	0.038226	0.025009	6e-06	0.0	0.019157	0.146007	0.005849	0.029502	0.017009	0.03883	0.194532	
Sample_8	7.9e-05	0.021274	0.0	0.0	0.039161	0.081676	0.04056	0.0	0.051361	0.011092	0.046661	4e-06	0.080918	7e-06	0.0	0.080883	0.070383	0.042733	3e-06	0.046003	0.258452	0.128751	
Sample_9	0.026728	0.002794	0.0	0.062468	0.01301	0.087043	0.063384	0.034945	0.0	3.9e-05	0.002301	4e-06	0.069339	6e-06	0.067334	0.026479	0.102978	0.051853	5e-06	3e-05	0.283649	0.105611	
Sample_10	0.037162	0.05012	0.0	0.0	0.020717	0.037577	0.097269	0.0	0.0	0.059575	0.023743	0.081624	0.122759	7e-06	0.0	0.021879	0.060024	0.0472	3e-06	0.012292	0.260686	0.06736	
Sample_11	0.027671	0.041468	0.057206	0.0	0.029243	0.002374	0.040944	0.0	0.0	2.5e-05	0.060477	3e-06	0.096282	6e-06	0.0	0.046976	0.119966	0.042257	0.021915	0.080006	0.192616	0.140566	
Sample_12	0.030524	0.037475	0.021631	0.0	0.0	0.019327	0.076162	0.0	0.0	2.1e-05	0.058258	2e-06	0.056294	5e-06	0.0	0.043384	0.110402	0.033404	0.019679	0.086816	0.235652	0.170965	
Sample_13	7.1e-05	0.080051	0.0	0.0	0.0	0.024569	0.045685	0.0	0.0	2.8e-05	0.035175	4e-06	0.090462	6e-06	0.0	0.047623	0.065884	0.076512	2e-06	0.070408	0.223705	0.239815	
Sample_14	0.022076	0.019667	0.0	0.038502	0.012884	0.018443	0.046597	0.0	0.0	0.011579	0.045141	0.008507	0.053368	7e-06	0.0	0.006687	0.12347	0.053331	0.022964	0.112939	0.191496	0.212342	
Sample_15	0.03481	0.055664	0.03289	0.018523	0.0	0.006291	0.077617	0.0	0.0	0.010606	0.003246	3e-06	0.008432	8e-06	0.0	0.002736	0.129927	0.07947	3e-06	0.088274	0.204437	0.247064	
Sample_16	0.031526	0.011204	0.0568	0.0	0.0	0.024974	0.093988	0.0	0.041094	0.042239	0.01284	4e-06	0.013867	5e-06	0.0	0.023247	0.066137	0.042583	4e-06	0.084483	0.214129	0.240874	
Sample_17	0.040094	0.036978	0.0	0.022069	0.0	0.052988	0.036219	0.0	0.0	0.022259	0.003842	4e-06	0.052089	8e-06	0.0	0.017862	0.112235	0.091831	0.069576	0.078246	0.228939	0.134762	
Sample_18	0.009116	0.03939	0.0	0.0	0.0	0.026745	0.043071	0.071873	0.0	2.4e-05	0.017268	0.004782	0.002994	4e-06	0.0	0.01386	0.094497	0.03402	2e-06	3.6e-05	0.44265	0.199669	
Sample_19	0.025253	0.023971	0.0	0.032592	0.0	0.029454	0.080698	0.07195	0.0	2.3e-05	0.009533	0.018685	0.030999	4e-06	0.0	0.020717	0.073819	0.03704	0.014042	0.019624	0.329816	0.181779	
Sample_20	0.031773	0.028356	0.025939	0.0	0.01529	0.007971	0.032152	0.0	0.0	1.5e-05	0.007843	0.006874	0.023137	8e-06	0.0	0.025503	0.110515	0.021918	0.029571	0.040941	0.385083	0.207109	
Sample_21	0.064273	0.051338	0.0	0.008066	0.0	0.03653	0.085832	0.0	0.035575	3.5e-05	0.02375	0.03663	0.024058	7e-06	0.0	0.005664	0.086775	0.072795	3e-06	3.2e-05	0.281686	0.18695	
Sample_22	0.031767	0.038737	0.0	0.025148	0.0	0.003352	0.076158	0.0	0.01316	3e-05	0.005965	0.05227	0.024023	6e-06	0.039761	0.022244	0.096813	0.09119	0.005835	0.024978	0.241273	0.20729	
Sample_23	0.037806	0.042556	0.018791	0.0	0.0	0.025307	0.078324	0.0	0.0	1.5e-05	0.030125	0.005077	0.015526	6e-06	0.00597	0.016157	0.068444	0.113801	0.040128	0.026674	0.266514	0.208777	
Sample_24	0.055283	0.012814	0.024624	0.0	0.0	0.019221	0.031462	0.059309	0.0	3.8e-05	0.017593	0.049658	0.093747	0.017946	0.0	0.02941	0.020749	0.028272	3e-06	0.098155	0.248948	0.192769	
