	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	
Sample_1	3e-06	0.0	0.0	0.268706	0.0	0.0	0.221007	2e-06	0.0	0.021827	0.098024	0.171731	0.2187	
Sample_2	3e-06	0.0	0.06042	0.217221	0.063171	0.0	0.143079	2e-06	0.0	0.097327	0.027259	0.148293	0.243225	
Sample_3	0.039836	0.0	0.054409	0.230817	0.0	0.0	0.111327	3e-06	0.144471	0.032208	0.097701	0.095472	0.193756	
Sample_4	0.064444	0.0	0.135301	0.222097	0.0	0.0	0.071607	2e-06	0.0	0.051761	0.057772	0.247704	0.149311	
Sample_5	2e-06	0.0	0.0	0.148227	0.162843	0.0	0.201193	0.060146	0.0	0.0	0.111905	0.029774	0.285908	
Sample_6	0.107349	0.0	0.0	0.268735	0.027053	0.022824	0.111298	2e-06	0.048763	0.067879	0.072684	0.273414	0.0	
Sample_7	2e-06	0.0	0.0	0.346668	0.081195	0.0	0.144601	0.028459	0.0	0.134789	0.046194	0.218091	1e-06	
Sample_8	0.097896	0.0	0.007604	0.291408	0.062686	0.150293	0.139641	1e-06	0.0	0.074412	0.01473	0.161328	0.0	
Sample_9	0.204009	0.0	0.029132	0.283376	0.0	0.094052	0.13615	2e-06	0.028177	0.030843	3.2e-05	0.194226	1e-06	
Sample_10	0.118827	0.0	0.007991	0.482321	0.0	0.0	0.239381	0.013852	0.0	0.043529	0.05059	0.043507	1e-06	
Sample_11	0.043439	0.0	0.0	0.411927	0.054292	0.0	0.181874	0.053256	0.0	0.078163	0.047437	0.12961	1e-06	
Sample_12	2e-06	0.0	0.0	0.489698	0.0	0.045034	0.111835	0.070839	0.088749	0.034442	0.050421	0.069121	0.03986	
Sample_13	0.066028	0.0	0.100478	0.30335	0.0	0.096811	0.169373	0.017801	0.001732	0.024052	0.077826	0.09047	0.052081	
Sample_14	2e-06	0.0	0.0	0.276829	0.081845	0.0	0.34172	2e-06	0.0	0.073273	0.091351	0.134977	1e-06	
Sample_15	2e-06	0.234942	0.0	0.386845	0.243335	0.0	0.058956	0.035777	0.0	0.027217	0.012681	0.000243	0.0	
Sample_16	0.10549	0.0	0.0	0.113383	0.031488	0.027861	0.096218	0.112376	0.327947	0.03219	0.011051	0.141996	0.0	
Sample_17	0.101882	0.0	0.0	0.1845	0.038205	0.0	0.050603	0.143202	0.405316	0.026108	0.009526	0.018363	0.022295	
Sample_18	0.096661	0.0	0.0	0.09378	0.0	0.091229	0.100141	1e-06	0.318897	0.051946	0.01096	0.172146	0.064239	
Sample_19	0.029665	0.0	0.0	0.200968	0.049503	0.0	0.073351	0.133497	0.213515	0.069867	0.019097	0.181365	0.029171	
Sample_20	0.047357	0.024782	0.0	0.288923	0.0	0.116614	0.083547	0.053475	0.177084	0.034944	0.091964	0.081309	0.0	
Sample_21	0.045573	0.0	0.0	0.39986	0.0	0.0	0.03739	2e-06	0.264845	2e-06	0.033535	0.172509	0.046283	
Sample_22	0.374889	0.0	0.0	0.11125	0.069706	0.165531	0.073975	0.055769	0.0	3e-06	3.4e-05	0.114846	0.033996	
Sample_23	0.507305	0.0	0.0	0.085573	0.0	0.079046	0.10561	2e-06	0.067632	0.128839	2.2e-05	0.000198	0.025772	
Sample_24	0.312481	0.0	0.0	0.157307	0.0	0.028995	5.2e-05	0.038914	0.0	0.056332	4e-05	0.222393	0.183485	
Sample_25	2e-06	0.022135	0.0	1.2e-05	0.01522	0.0	0.024892	0.046004	0.0	1e-06	2.1e-05	0.891712	0.0	
Sample_26	1e-06	0.0	0.0	9e-06	0.0	0.0	1.9e-05	0.001386	0.0	0.0	0.013207	0.985378	0.0	
Sample_27	3e-06	0.0	0.0	2.3e-05	0.0	0.053082	0.057731	2e-06	0.0	0.01752	0.04043	0.831208	1e-06	
Sample_28	3e-06	0.0	0.0	0.080008	0.0	0.023477	0.104665	0.015397	0.0	1e-06	0.013867	0.762582	1e-06	
Sample_29	3e-06	0.0	0.0	0.091541	0.0	0.0	0.044305	0.045061	0.0	1e-06	0.023091	0.795998	0.0	
Sample_30	0.031665	0.0	0.0	1.8e-05	0.0	0.073248	7.2e-05	2e-06	0.104237	1e-06	2.5e-05	0.790731	1e-06	
