	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	
Sample_1	0.028439	0.121201	0.013108	0.226255	0.387235	0.186452	0.037311	
Sample_2	0.046125	0.118483	0.025598	0.188324	0.280817	0.313246	0.027408	
Sample_3	0.078237	0.097515	0.08272	0.393277	0.288863	2e-06	0.059386	
Sample_4	0.036739	0.128036	0.086954	0.369522	0.301345	0.025407	0.051998	
Sample_5	0.058158	0.084696	0.102512	0.316871	0.317764	0.041955	0.078044	
Sample_6	0.052557	0.090216	0.024549	0.401661	0.393401	0.026795	0.010822	
Sample_7	0.047643	0.0638	0.025378	0.411333	0.40015	0.033734	0.017962	
Sample_8	0.056723	0.19217	0.035694	0.269594	0.4207	1e-06	0.025118	
Sample_9	0.038224	0.160334	0.029371	0.288511	0.415677	2e-06	0.067881	
Sample_10	0.046335	0.140902	0.040541	0.307642	0.363763	0.055362	0.045455	
Sample_11	0.046042	0.11218	0.123613	0.252224	0.401205	0.026649	0.038087	
Sample_12	0.038023	0.362057	0.059178	0.130597	0.279742	2e-06	0.130401	
Sample_13	0.02799	0.433567	0.052856	0.127812	0.258248	2e-06	0.099525	
Sample_14	0.053867	0.492163	0.04044	0.054886	0.286896	2e-06	0.071747	
Sample_15	0.095685	0.373932	0.1183	0.114727	0.214297	3e-06	0.083057	
Sample_16	0.058675	0.381331	0.091843	0.093611	0.20144	3e-06	0.173096	
Sample_17	0.039564	0.414441	0.047975	0.113723	0.32044	2e-06	0.063855	
Sample_18	0.065257	0.40691	0.071135	0.090931	0.311714	2e-06	0.054052	
Sample_19	0.026743	0.396994	0.033854	0.124071	0.371164	2e-06	0.047173	
Sample_20	0.101096	0.341256	0.054343	0.101476	0.340166	2e-06	0.061661	
Sample_21	0.080722	0.343245	0.058225	0.11685	0.331547	1e-06	0.069409	
Sample_22	0.078433	0.360835	0.06779	0.104433	0.340012	2e-06	0.048496	
Sample_23	0.051072	0.356074	0.081294	0.120705	0.318879	2e-06	0.071975	
Sample_24	0.081431	0.374083	0.078375	0.147769	0.288751	2e-06	0.029588	
Sample_25	0.076826	0.391895	0.067446	0.054185	0.358062	3e-06	0.051584	
