	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	
Sample_1	0.005055	0.013634	4e-05	0.023226	0.84123	0.107001	0.009814	
Sample_2	0.008791	0.006668	0.005117	0.054448	0.80958	0.106858	0.008538	
Sample_3	0.004498	0.021456	2.9e-05	0.018176	0.875197	0.073932	0.006712	
Sample_4	0.014093	0.010649	0.095545	0.057305	0.737038	0.079336	0.006034	
Sample_5	0.0242	0.043638	0.00014	0.082403	0.677707	0.165924	0.005988	
Sample_6	4e-06	0.085013	0.000391	0.092736	0.530433	0.291421	2e-06	
Sample_7	0.010862	0.032674	0.334706	0.034076	0.512898	0.068765	0.00602	
Sample_8	0.003812	0.023302	0.278993	0.04468	0.504943	0.136829	0.007441	
Sample_9	0.001813	0.015198	0.309392	0.023125	0.646917	0.00081	0.002744	
Sample_10	0.014265	0.011308	0.245399	0.054463	0.388704	0.270479	0.015382	
Sample_11	0.022611	0.005722	0.235665	0.071028	0.402482	0.249922	0.01257	
Sample_12	0.019067	0.005659	0.190346	0.071326	0.452702	0.251331	0.009569	
Sample_13	0.025608	0.014834	0.248013	0.070606	0.32591	0.299815	0.015215	
Sample_14	0.015454	0.007552	0.247235	0.106403	0.344124	0.265549	0.013683	
Sample_15	0.026205	0.015622	0.0871	0.086396	0.316921	0.462217	0.005538	
Sample_16	0.027497	0.010829	0.091638	0.093203	0.315082	0.452929	0.008822	
Sample_17	0.03258	0.006479	0.065802	0.07597	0.391273	0.424602	0.003294	
Sample_18	0.043022	0.032872	0.312763	0.148053	0.194055	0.245396	0.023839	
Sample_19	0.01843	0.017199	0.435789	0.073552	0.143522	0.306144	0.005364	
Sample_20	0.022851	0.026551	0.579132	0.049474	0.157234	0.158369	0.00639	
Sample_21	0.023279	0.107593	0.666399	0.049895	0.021306	0.102454	0.029073	
Sample_22	0.02234	0.110391	0.022049	0.000146	0.00589	0.830896	0.008288	
Sample_23	2.5e-05	0.671974	0.025005	0.059177	0.100666	0.139486	0.003667	
Sample_24	0.011904	0.543904	0.058114	0.028668	0.16119	0.171168	0.025053	
Sample_25	2.2e-05	0.640297	0.000114	0.051545	0.04025	0.253671	0.014102	
Sample_26	5.7e-05	0.60908	0.033235	0.174326	0.110617	0.057767	0.014919	
Sample_27	0.11925	0.591215	0.183101	0.030855	0.000829	0.029993	0.044757	
Sample_28	0.00039	0.209398	9.6e-05	0.778042	0.002853	0.000158	0.009063	
Sample_29	3e-05	0.268891	8.5e-05	0.651419	0.064105	0.015448	2.3e-05	
Sample_30	1.6e-05	0.002331	3.3e-05	0.00011	0.001804	0.000181	0.995524	
Sample_31	1.3e-05	0.001764	2.6e-05	5.8e-05	0.000831	0.000209	0.997099	
Sample_32	0.763228	0.01361	6.6e-05	0.000128	0.003837	0.000437	0.218693	
