	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	
Sample_1	0.083733	0.538374	0.102916	0.0	0.274977	
Sample_2	0.044861	0.535306	0.129907	1e-06	0.289925	
Sample_3	0.036762	0.607138	0.064647	0.0	0.291452	
Sample_4	0.044145	0.605246	0.048921	0.0	0.301688	
Sample_5	0.022752	0.621037	0.08134	0.0	0.274871	
Sample_6	0.006909	0.664744	0.031821	0.0	0.296526	
Sample_7	0.045836	0.529037	0.046689	1e-06	0.378437	
Sample_8	0.044683	0.545536	0.042364	1e-06	0.367416	
Sample_9	0.024519	0.546006	0.051035	0.001447	0.376993	
Sample_10	0.028771	0.522241	0.049069	0.0	0.399919	
Sample_11	0.056822	0.5736	0.016087	0.0	0.353491	
Sample_12	0.001696	0.604064	0.03615	0.0	0.35809	
Sample_13	0.00417	0.603268	0.058111	0.002099	0.332352	
Sample_14	0.00216	0.571611	0.059516	0.0	0.366713	
Sample_15	0.002175	0.504878	0.096658	0.0	0.396288	
Sample_16	0.085472	0.480852	0.006309	1e-06	0.427366	
Sample_17	0.068078	0.464683	0.068266	0.0	0.398972	
Sample_18	0.008269	0.759456	0.032635	0.002464	0.197176	
Sample_19	0.178204	0.265106	0.02991	0.227198	0.299581	
Sample_20	0.042407	0.052694	0.021305	0.004151	0.879443	
Sample_21	0.047695	0.033532	0.049643	1e-06	0.869129	
Sample_22	0.002566	0.024427	0.056647	0.002232	0.914129	
Sample_23	0.023449	0.025314	0.054056	2e-06	0.897179	
Sample_24	0.012858	0.00374	0.062509	0.002736	0.918157	
Sample_25	0.013789	0.009906	0.045299	0.002837	0.928168	
Sample_26	0.013665	0.024879	0.041983	0.003358	0.916114	
Sample_27	0.022284	0.004907	0.037973	0.00275	0.932086	
Sample_28	0.027227	0.013328	0.032743	3e-06	0.926698	
Sample_29	0.010766	0.031883	0.029433	0.003553	0.924365	
Sample_30	0.014389	0.024919	0.02202	0.0	0.938672	
Sample_31	0.008908	0.064986	0.020795	0.005748	0.899562	
Sample_32	0.019843	0.065841	0.0202	0.007681	0.886436	
Sample_33	0.008484	0.077131	0.04464	0.002348	0.867397	
Sample_34	0.020361	0.048384	0.064607	1e-06	0.866646	
Sample_35	0.020256	0.048349	0.080087	0.007546	0.843762	
Sample_36	0.003752	0.066853	0.071484	0.0	0.857911	
Sample_37	0.013376	0.020661	0.089016	0.00583	0.871117	
Sample_38	0.029442	0.010591	0.094266	0.003243	0.862459	
Sample_39	0.003907	0.008599	0.102949	0.0	0.884545	
Sample_40	0.087253	0.035278	0.025419	0.004551	0.847499	
Sample_41	0.077037	0.017021	0.003171	0.0	0.90277	
Sample_42	0.329569	0.027194	0.535473	2e-06	0.107763	
Sample_43	0.285694	0.080024	0.554623	0.011675	0.067984	
Sample_44	0.231929	0.180445	0.502839	0.018186	0.066601	
Sample_45	0.418243	0.152978	0.325524	0.018199	0.085057	
Sample_46	0.38193	0.1577	0.423268	0.024009	0.013093	
Sample_47	0.315473	0.173421	0.357367	0.01331	0.140429	
Sample_48	0.150148	0.058054	0.765033	0.020248	0.006517	
Sample_49	0.030077	0.117411	0.827171	0.015913	0.009428	
Sample_50	0.100443	0.010584	0.744404	0.019622	0.124947	
Sample_51	0.6742	0.076528	0.155387	0.009298	0.084588	
Sample_52	0.690033	0.076273	0.158235	0.006565	0.068895	
Sample_53	0.65012	0.073881	0.15477	0.025588	0.095641	
Sample_54	0.708845	0.045703	0.150088	2e-06	0.095362	
Sample_55	0.700364	0.03442	0.150582	0.007994	0.10664	
Sample_56	0.648493	0.094471	0.124375	0.021332	0.111329	
Sample_57	0.664168	0.066276	0.13236	0.012632	0.124564	
Sample_58	0.650909	0.072471	0.18984	1e-06	0.08678	
Sample_59	0.644973	0.066653	0.193409	0.019311	0.075653	
Sample_60	0.622071	0.07005	0.189211	1e-06	0.118666	
Sample_61	0.690844	0.007458	0.182309	0.008363	0.111027	
Sample_62	0.712114	0.103514	0.13479	1e-06	0.049581	
Sample_63	0.683484	0.086704	0.155392	0.032604	0.041817	
Sample_64	0.734998	0.049123	0.170292	2e-06	0.045585	
Sample_65	0.705504	0.092624	0.117735	1e-06	0.084137	
Sample_66	0.712726	0.087889	0.107788	1e-06	0.091596	
Sample_67	0.767945	0.060482	0.084103	0.005125	0.082345	
Sample_68	0.768541	0.058063	0.08413	1e-06	0.089265	
Sample_69	0.715462	0.076615	0.070101	2e-06	0.137822	
Sample_70	0.746166	0.112562	0.080101	1e-06	0.06117	
Sample_71	0.718955	0.115819	0.068006	0.029816	0.067403	
Sample_72	0.709998	0.121282	0.098303	1e-06	0.070416	
Sample_73	0.695305	0.141291	0.100682	1e-06	0.06272	
Sample_74	0.640789	0.134965	0.11127	0.020896	0.092081	
Sample_75	0.890079	0.007374	0.040049	0.016736	0.045762	
Sample_76	0.856902	0.039197	0.065672	0.011171	0.027058	
Sample_77	0.825219	0.04199	0.113139	1e-06	0.019651	
Sample_78	0.781941	0.057322	0.105056	0.011389	0.044292	
Sample_79	0.611645	0.086428	0.083371	0.02137	0.197187	
Sample_80	0.607756	0.121526	0.129455	2e-06	0.141261	
Sample_81	0.675669	0.020764	0.123618	0.009288	0.17066	
Sample_82	0.597419	0.128586	0.186593	0.024386	0.063016	
Sample_83	0.593292	0.139101	0.196112	0.007261	0.064234	
Sample_84	0.626706	0.186834	0.14318	0.012609	0.030671	
Sample_85	0.63315	0.101276	0.221877	0.021719	0.021978	
Sample_86	0.625472	0.073004	0.240604	0.019269	0.041651	
Sample_87	0.615877	0.095446	0.272476	0.008698	0.007503	
Sample_88	0.529612	0.249757	0.129184	0.034232	0.057214	
Sample_89	0.595412	0.235225	0.111069	0.016712	0.041582	
Sample_90	0.493364	0.088201	0.236838	0.020238	0.16136	
Sample_91	0.537787	0.079435	0.212582	0.029085	0.14111	
Sample_92	0.482724	0.129299	0.27655	0.007957	0.10347	
Sample_93	0.464263	0.147356	0.26246	0.010629	0.115292	
Sample_94	0.500542	0.145343	0.232046	0.003774	0.118295	
Sample_95	0.509886	0.080182	0.287926	1e-06	0.122004	
Sample_96	0.531131	0.059386	0.297312	0.010927	0.101244	
