	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	Predicted_signature_14	
Sample_1	0.21022	0.0	0.027392	0.012209	0.068881	0.025823	0.00256	0.089212	0.000347	0.377274	0.146089	0.0	0.039994	0.0	
Sample_2	0.20056	0.0	0.008463	0.036964	0.106393	0.010533	0.020585	0.088827	0.0037	0.372243	0.151732	0.0	0.0	0.0	
Sample_3	0.149459	0.0	0.013652	0.018959	0.07107	0.023067	0.001503	0.043217	0.000121	0.521212	0.15774	0.0	0.0	0.0	
Sample_4	0.161135	0.0	0.0068	0.049481	0.031621	0.084163	0.001892	0.047594	0.005338	0.380017	0.082978	0.0	0.031225	0.117757	
Sample_5	0.066641	0.0	0.002939	0.013155	0.02361	0.014715	0.007431	0.068278	0.001643	0.77527	0.010274	0.0	0.0	0.016045	
Sample_6	0.054118	0.0	0.005821	0.00312	0.058671	0.000948	0.002459	0.047168	0.010792	0.762871	0.054033	0.0	0.0	0.0	
Sample_7	0.0893	0.0	0.008951	0.009447	0.018358	0.008984	0.045903	0.12352	0.000392	0.593383	0.062832	0.0	0.0	0.03893	
Sample_8	0.189208	0.0	0.008229	0.004386	0.074108	0.001768	0.036852	0.222991	0.000189	0.328723	0.048389	0.0	0.033943	0.051216	
Sample_9	0.156172	0.0	0.053516	0.008927	0.049848	0.00365	0.001134	0.239615	0.000478	0.309488	0.106314	0.0	0.017789	0.053068	
Sample_10	0.009649	0.0	0.009606	0.015838	0.01308	0.000392	0.01441	0.016778	7.1e-05	0.621576	0.009894	0.0	0.0	0.288704	
Sample_11	0.064678	0.004787	0.009445	0.031877	0.019818	0.038149	0.005565	0.021957	0.001578	0.523665	0.056474	0.0	0.0	0.22201	
Sample_12	0.002386	0.005764	0.004219	0.044582	0.007088	0.002528	0.005167	0.004743	5.1e-05	0.480163	0.017943	0.0	0.0	0.425365	
Sample_13	0.038936	0.0	0.023202	0.018986	0.00407	0.034148	0.018849	0.200346	0.006035	0.255466	0.036828	0.0	0.0	0.363132	
Sample_14	0.058101	0.0	0.013869	0.013713	0.048812	0.002464	0.007938	0.445113	0.010495	0.124751	0.020008	0.0	0.0	0.254735	
Sample_15	0.219263	0.0	0.022766	0.010755	0.09586	0.003104	0.035663	0.135226	0.01635	0.205709	0.255304	0.0	0.0	0.0	
Sample_16	0.246717	0.0	0.235037	0.025374	0.109263	0.006773	0.05758	0.066304	0.010751	0.095289	0.146911	0.0	0.0	0.0	
Sample_17	0.546793	0.0	0.029769	0.044348	0.045924	0.06605	0.015203	0.091262	0.010597	0.010447	0.110125	0.0	0.0	0.029483	
Sample_18	0.639618	0.0	0.042633	0.019538	0.011366	0.052715	0.013183	0.125501	0.005333	0.00537	0.069953	0.0	0.0	0.01479	
Sample_19	0.527102	0.0	0.018663	0.019945	0.088316	0.005586	0.001918	0.203866	0.037204	0.020394	0.03493	0.0	0.0	0.042077	
Sample_20	0.498925	0.0	0.049806	0.013734	0.052121	0.007838	0.040976	0.177064	0.037539	0.03638	0.053154	0.0	0.0	0.032464	
Sample_21	0.552885	0.0	0.027711	0.108586	0.030868	0.017341	0.006366	0.084752	0.000612	0.104787	0.020998	0.034255	0.01084	0.0	
Sample_22	0.523087	0.041801	0.115154	0.061029	0.057366	0.003461	0.003198	0.002084	0.01448	0.009081	0.016566	0.092068	0.036048	0.024577	
Sample_23	0.409786	0.0	0.014732	0.056259	0.00539	0.080407	0.005302	0.082851	0.01699	0.189533	0.096617	0.0	0.042134	0.0	
Sample_24	0.183211	0.0	0.004315	0.257345	0.030825	0.001872	0.071015	0.315002	0.001023	0.012874	0.103527	0.0032	0.0	0.015792	
Sample_25	0.205667	0.012056	0.025159	0.087935	0.041645	0.053051	0.037079	0.284506	0.06544	0.003064	0.157748	0.026651	0.0	0.0	
Sample_26	0.021006	0.373444	0.125141	0.039709	0.109447	0.033464	0.027326	0.007558	0.003142	0.017446	0.154581	0.072227	0.015508	0.0	
Sample_27	0.031151	0.383352	0.133119	0.051022	0.075373	0.054584	0.020955	0.008917	0.028514	0.023298	0.062671	0.096343	0.0307	0.0	
Sample_28	0.014727	0.350606	0.101317	0.079035	0.080592	0.018709	0.012989	0.052222	0.002136	0.007173	0.20027	0.075742	0.0	0.004483	
Sample_29	0.021124	0.352968	0.074591	0.031957	0.106382	0.001581	0.035519	0.056871	0.004939	0.015613	0.223664	0.074791	0.0	0.0	
Sample_30	0.022067	0.363633	0.113309	0.056851	0.114795	0.0028	0.011616	0.047953	0.002438	9.8e-05	0.254708	0.0	0.0	0.009731	
Sample_31	0.005915	0.265373	0.102428	0.013325	0.153975	0.133291	0.03319	0.010664	0.008398	0.004492	0.158372	0.110576	0.0	0.0	
Sample_32	0.0215	0.210162	0.136261	0.115254	0.139894	0.02315	0.003025	0.06678	0.025025	0.004033	0.244238	0.0	0.0	0.010677	
Sample_33	0.019515	0.189198	0.09272	0.084916	0.136115	0.039516	0.012307	0.074483	0.040678	0.016393	0.269135	0.0	0.013214	0.01181	
Sample_34	0.014397	0.19924	0.139912	0.080909	0.142515	0.014795	0.01663	0.056296	0.032081	0.002631	0.297727	0.0	0.0	0.002868	
Sample_35	0.030396	0.172076	0.138484	0.085816	0.126764	0.006902	0.036381	0.058966	0.016826	0.010442	0.31275	0.0	0.004197	0.0	
Sample_36	0.036987	0.221617	0.098486	0.080903	0.11579	0.001289	0.026409	0.038511	0.018201	0.018113	0.332787	0.0	0.010907	0.0	
Sample_37	0.005832	0.241601	0.091948	0.074738	0.143399	0.044656	0.039871	0.046313	0.025325	0.007284	0.22172	0.051475	0.005838	0.0	
Sample_38	0.001909	0.273737	0.08183	0.112584	0.050633	0.001584	0.050457	0.015525	0.01253	0.007606	0.319651	0.071954	0.0	0.0	
Sample_39	0.014833	0.133534	0.187762	0.039741	0.190902	0.036996	0.043499	0.078194	0.033005	0.006075	0.219906	0.0	0.015552	0.0	
Sample_40	0.015096	0.138268	0.136006	0.14075	0.059719	0.159989	0.051656	0.010029	0.026821	0.074962	0.186705	0.0	0.0	0.0	
Sample_41	0.002258	0.255088	0.015132	0.065308	0.044225	0.054694	0.027167	0.039675	0.000191	0.015181	0.223476	0.257605	0.0	0.0	
Sample_42	0.027454	0.193861	0.241198	0.021999	0.1485	0.047163	0.016284	0.062171	0.014586	0.018034	0.064772	0.130016	0.013961	0.0	
Sample_43	0.01248	0.286433	0.308556	0.045778	0.077139	0.037157	0.001744	0.093506	0.045325	0.019749	0.068914	0.0	0.0	0.003219	
Sample_44	0.023305	0.284064	0.07114	0.293918	0.068457	0.006407	0.079226	0.02622	0.008345	0.029673	0.032608	0.076637	0.0	0.0	
Sample_45	0.035939	0.0	0.199129	0.121499	0.206301	0.02494	0.085155	0.047475	0.030512	0.023306	0.225743	0.0	0.0	0.0	
