	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	
Sample_1	0.0	0.0	0.235764	0.0	0.062323	0.007438	0.0	0.016529	0.0	0.0	0.07588	0.602066	
Sample_2	0.0	0.0	0.289891	0.0	0.0	0.027001	0.0	0.022376	0.0	0.0	3e-06	0.660729	
Sample_3	0.0	0.0	0.392247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3e-06	0.60775	
Sample_4	0.0	0.0	0.267052	0.0	0.0	0.0	0.0	0.164911	0.0	0.0	3e-06	0.568034	
Sample_5	0.015722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3e-06	0.984276	
Sample_6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.151458	0.0	0.0	0.094104	0.754438	
Sample_7	0.0	0.0	0.05142	0.0	0.0	0.0	0.0	0.018311	0.0	0.0	0.199338	0.730931	
Sample_8	0.020616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.247477	0.731907	
Sample_9	0.0	0.0	0.0	0.0	0.059121	0.0	0.0	0.0	0.0	0.0	0.198777	0.742102	
Sample_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.191992	0.808008	
Sample_11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015541	0.141319	0.84314	
Sample_12	0.014348	0.0	0.0	0.0	0.061129	0.0	0.112115	0.0	0.0	0.0	0.108625	0.703782	
Sample_13	0.007158	0.0	0.107549	0.0	0.0	0.037891	0.0	0.041421	0.0	0.0	0.082889	0.723091	
Sample_14	0.022754	0.0	0.113335	0.0	0.0	0.0	0.0	0.065624	0.0	0.0	0.070555	0.727732	
Sample_15	0.0	0.0	0.116445	0.0	0.0	0.016597	0.0	0.037059	0.0	0.0	0.180548	0.64935	
Sample_16	0.0	0.0	0.0	0.143161	0.0	0.0	0.0	0.0	0.0	0.0	0.169474	0.687365	
Sample_17	0.252203	0.0	0.124575	0.0	0.0	0.048808	0.0	0.023301	0.0	0.0	2e-06	0.55111	
Sample_18	0.030489	0.0	0.0	0.0	0.0	0.0	0.0	0.409981	0.0	0.068676	2e-06	0.490852	
Sample_19	0.034131	0.0	0.03523	0.0	0.0	0.0	0.0	0.347178	0.0	0.0	0.176377	0.407084	
Sample_20	0.0	0.0	0.520624	0.006503	0.0	0.004641	0.0	0.0	0.0	0.110458	0.153314	0.204461	
Sample_21	0.0	0.0	0.0	0.647236	0.050692	0.0	0.0	0.0	0.0	0.0	0.092273	0.2098	
Sample_22	0.032016	0.0	0.0	0.770045	0.0	0.0	0.0	0.0	0.0	0.0	3e-06	0.197935	
Sample_23	0.0	0.0	0.0	0.907864	0.0	0.0	0.0	0.037789	0.0	0.0	4e-06	0.054343	
Sample_24	0.124451	0.0	0.0	0.875545	0.0	0.0	0.0	0.0	0.0	0.0	3e-06	1e-06	
Sample_25	0.0	0.0	0.0	0.471651	0.0	0.0	0.0	0.0	0.0	0.0	3e-06	0.528346	
Sample_26	0.31515	0.0	0.0	0.0	0.0	0.0	0.0	0.022714	0.0	0.0	0.482747	0.17939	
Sample_27	0.395589	0.0	0.0	0.0	0.089687	0.0	0.0	0.0	0.0	0.0	0.25189	0.262834	
