	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	
Sample_1	0.546714	0.002413	0.139573	0.164994	0.146306	
Sample_2	0.563471	0.0	0.057612	0.295476	0.083441	
Sample_3	0.892319	0.000811	0.032273	0.032879	0.041719	
Sample_4	0.887153	0.012463	0.020147	0.029544	0.050692	
Sample_5	0.874087	0.004747	0.065504	0.000552	0.055111	
Sample_6	0.830135	0.004702	0.015913	0.046975	0.102275	
Sample_7	0.844349	0.002394	0.023608	0.023141	0.106507	
Sample_8	0.888326	0.002697	0.012837	0.007006	0.089134	
Sample_9	0.8341	0.004731	0.007948	0.016729	0.136492	
Sample_10	0.741324	0.006092	0.069079	0.065698	0.117807	
Sample_11	0.484585	0.00768	0.110931	0.079711	0.317092	
Sample_12	0.45669	0.008176	0.07485	0.139397	0.320887	
Sample_13	0.015252	0.003475	0.006111	0.067084	0.908077	
Sample_14	0.328013	0.010237	0.047283	0.587231	0.027237	
Sample_15	0.465422	0.005329	0.040881	0.473654	0.014715	
Sample_16	0.0257	0.0	0.05624	0.918045	1.5e-05	
Sample_17	0.021379	0.0	0.057799	0.901099	0.019723	
Sample_18	0.027124	0.011625	0.040167	0.911059	0.010026	
Sample_19	0.016732	0.0	0.077821	0.893356	0.012091	
Sample_20	0.053027	0.002877	0.050376	0.893711	9e-06	
Sample_21	0.052272	0.00184	0.042875	0.877638	0.025375	
Sample_22	0.018174	0.0	0.012624	0.962985	0.006217	
Sample_23	0.009843	0.001936	0.017377	0.96188	0.008963	
Sample_24	0.013808	0.001861	0.022665	0.961651	1.6e-05	
Sample_25	0.010282	0.0	0.017505	0.972204	9e-06	
Sample_26	0.009235	0.003638	0.02817	0.952808	0.006149	
Sample_27	0.032984	0.0	0.019142	0.947867	7e-06	
Sample_28	0.038003	0.0	0.022697	0.939277	2.3e-05	
Sample_29	0.03159	0.002929	0.028025	0.937445	1.2e-05	
Sample_30	0.031804	0.003054	0.026567	0.902122	0.036453	
Sample_31	0.100396	0.009554	0.054782	0.813368	0.0219	
Sample_32	0.095786	0.0	0.04057	0.863631	1.3e-05	
Sample_33	0.076289	0.001147	0.057243	0.823365	0.041957	
Sample_34	0.035056	0.004646	0.941731	0.005751	0.012816	
Sample_35	3e-06	0.996058	2e-06	2e-06	0.003935	
Sample_36	8e-06	0.994634	0.002091	3e-06	0.003264	
