	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	
Sample_1	0.577157	0.000914	0.355268	0.003383	0.05119	6e-06	7.7e-05	0.012005	
Sample_2	0.51993	0.00879	0.333472	0.00213	0.066105	3e-06	0.063034	0.006535	
Sample_3	0.501948	0.004456	0.431391	0.006635	0.007208	0.001199	0.044368	0.002796	
Sample_4	0.43179	0.016138	0.215049	0.000645	0.022859	0.075728	0.197917	0.039874	
Sample_5	0.709836	0.002608	0.049787	0.220195	0.012771	0.002181	0.001025	0.001597	
Sample_6	0.103014	0.093372	0.432733	0.200533	0.090035	1.6e-05	0.016256	0.064041	
Sample_7	0.009603	0.099023	0.450559	0.293001	0.107561	0.008899	0.02349	0.007864	
Sample_8	0.15185	0.097342	0.289339	0.209977	0.19909	0.015803	7.2e-05	0.036528	
Sample_9	0.195009	0.025921	0.32763	0.171079	0.210942	1.2e-05	7.2e-05	0.069336	
Sample_10	0.187064	0.013937	0.529203	0.13466	0.105397	0.00482	0.01855	0.006369	
Sample_11	0.161386	0.007868	0.587933	0.110277	0.091518	0.011367	8.7e-05	0.029565	
Sample_12	0.129358	0.016007	0.573494	0.116976	0.135234	2.7e-05	0.026752	0.002152	
Sample_13	0.11795	0.033861	0.547747	0.134322	0.133512	0.006843	0.019772	0.005992	
Sample_14	0.18597	0.02207	0.575204	0.073722	0.130161	8e-06	6.5e-05	0.012801	
Sample_15	0.156645	0.01058	0.571733	0.084395	0.159794	0.005267	7.3e-05	0.011513	
Sample_16	0.183296	0.020692	0.524962	0.083763	0.152628	1.2e-05	0.021124	0.013523	
Sample_17	0.152103	0.042532	0.585104	0.053206	0.155083	0.01181	0.00013	3.2e-05	
Sample_18	0.104872	0.010528	0.634404	0.078272	0.100039	0.022245	0.043887	0.005754	
Sample_19	0.121858	0.024831	0.666871	0.053277	0.076156	3e-05	0.056923	5.4e-05	
Sample_20	0.264502	0.009775	0.576705	0.049785	0.072804	0.005509	4.6e-05	0.020874	
Sample_21	0.272961	0.008834	0.601545	0.039556	0.040525	1.8e-05	0.03652	4e-05	
Sample_22	0.278586	0.021657	0.508654	0.07964	0.087867	2.3e-05	0.02353	4.3e-05	
Sample_23	0.206644	0.010215	0.58013	0.083054	0.097073	0.00451	0.007869	0.010504	
Sample_24	0.200403	0.007545	0.579075	0.090823	0.089746	0.025836	0.000103	0.006468	
Sample_25	0.221325	0.020897	0.540506	0.081956	0.099139	6e-06	0.024484	0.011687	
Sample_26	0.221111	0.005971	0.552276	0.09093	0.102739	0.009114	0.012055	0.005804	
Sample_27	0.210631	0.042671	0.583953	0.056086	0.085614	1.1e-05	0.020937	9.7e-05	
Sample_28	0.246688	0.023983	0.515617	0.06385	0.092763	0.002208	0.014686	0.040203	
Sample_29	0.223906	0.020325	0.549253	0.046055	0.098391	1.4e-05	0.02549	0.036566	
Sample_30	0.218083	0.016927	0.54182	0.071448	0.073965	0.007428	0.013537	0.056792	
Sample_31	0.243156	0.010644	0.523355	0.08122	0.130781	4e-06	0.010822	1.9e-05	
