	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	
Sample_1	0.436153	0.0	0.09109	0.025047	0.179004	0.014297	0.026662	0.078534	0.114102	0.011342	0.004639	0.019131	
Sample_2	0.409454	0.0	0.064691	0.055477	0.102888	0.036569	0.026631	0.129165	0.127758	0.024343	0.003188	0.019835	
Sample_3	0.45389	0.014534	0.087593	0.030971	6.4e-05	0.036832	0.00265	0.15609	0.153855	0.028594	0.006769	0.028158	
Sample_4	0.573016	0.0	2.9e-05	0.0	0.007	0.211549	0.0	0.080123	0.089375	0.012079	0.014652	0.012176	
Sample_5	0.294109	0.0	0.212565	0.022496	0.056633	0.064604	0.0	0.186081	0.085903	0.032259	0.023832	0.021517	
Sample_6	0.311473	1e-06	0.280013	0.046619	0.051369	0.036493	0.0	0.153442	0.076469	0.007698	0.010068	0.026355	
Sample_7	0.32544	0.006738	0.217344	0.089513	4.7e-05	0.043579	0.0	0.14982	0.077394	0.034255	0.019393	0.036479	
Sample_8	0.372446	0.0	0.154968	1e-06	0.026466	0.100398	0.0	0.178677	0.05685	0.03064	0.013011	0.066542	
Sample_9	0.333842	0.0	0.013914	0.009	0.108972	7e-06	0.023921	0.240991	0.091963	0.089025	0.030457	0.057909	
Sample_10	0.33583	0.024088	0.000149	0.028624	0.000241	0.118825	0.0	0.20961	0.114112	0.130613	0.022525	0.015383	
Sample_11	0.32231	0.0	0.006469	0.014084	0.022512	7e-06	0.0	0.284306	0.283513	0.021508	0.027988	0.017303	
Sample_12	0.376765	0.006992	0.075645	0.016225	9.1e-05	0.022501	0.0	0.288001	0.173531	0.004993	0.011111	0.024145	
Sample_13	0.289657	0.0	0.08675	1e-06	8.9e-05	0.024448	0.020188	0.440059	0.057637	0.022156	0.010006	0.049009	
Sample_14	0.27071	0.001398	0.106083	0.016888	0.008224	0.060382	0.0	0.458045	0.046661	0.022401	0.008225	0.000983	
Sample_15	0.264078	1e-06	0.084583	0.033458	0.035552	0.078759	0.0	0.379361	0.07374	0.016387	0.018974	0.015107	
Sample_16	0.287075	1e-06	0.121053	0.003526	0.047275	5e-06	0.002783	0.476703	0.006179	0.008773	0.009206	0.037422	
Sample_17	0.271194	0.0	0.147456	1e-06	0.053272	0.004767	0.018901	0.447102	0.025992	0.003249	0.005268	0.022798	
Sample_18	0.276582	0.004338	0.089253	0.011514	0.062922	0.006259	0.0	0.387811	0.10772	0.013097	0.013988	0.026517	
Sample_19	0.206585	0.006223	0.171948	0.025973	0.023031	0.047153	0.0	0.430673	0.044803	0.018081	0.016003	0.009526	
Sample_20	0.205195	0.014755	0.22525	1e-06	0.022682	0.077085	0.005278	0.350597	0.05877	0.016042	0.008754	0.015592	
Sample_21	0.289269	0.016065	8.9e-05	1e-06	0.000116	0.112482	0.0	0.430283	0.017159	0.046437	0.044575	0.043524	
Sample_22	0.308041	0.0	0.157665	1e-06	7.7e-05	0.044523	0.0	0.296099	0.082474	0.016958	0.014809	0.079352	
Sample_23	0.352307	0.0	0.156219	0.006911	0.001109	0.03536	0.007526	0.285468	0.070174	0.024671	0.007309	0.052945	
Sample_24	0.28509	0.0	0.177356	0.026858	7.2e-05	0.01743	0.0	0.308922	0.050352	0.031693	0.025195	0.077032	
Sample_25	0.329651	0.006974	0.105083	1e-06	0.032058	0.029612	0.0	0.272983	0.078428	0.048286	0.028205	0.068719	
Sample_26	0.342889	0.007777	0.074294	0.020176	0.039055	0.064027	0.009671	0.281758	0.056817	0.038972	0.015177	0.049386	
Sample_27	0.273627	1e-06	0.147072	2e-06	0.000161	0.090377	0.0	0.292159	0.135708	0.035596	0.017159	0.008138	
Sample_28	0.150947	0.0	0.381101	0.042998	8.8e-05	0.039424	0.0	0.213714	0.106822	0.01789	0.017313	0.029702	
Sample_29	0.160837	0.007639	0.359817	0.018062	0.046345	8e-06	0.0	0.234948	0.086956	0.030738	0.02505	0.029599	
Sample_30	0.1161	0.003069	0.394433	0.0	0.067522	0.047292	0.0	0.238666	0.054564	0.016588	0.008087	0.053679	
Sample_31	0.094674	0.0	0.450443	0.037674	0.0018	0.085001	0.0	0.094529	0.180788	0.028946	0.01313	0.013015	
Sample_32	0.068112	1e-06	0.282352	5e-06	0.000353	0.053372	0.089231	0.401493	0.010873	0.041927	0.03402	0.018262	
