	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	
Sample_1	0.124185	0.102178	0.045331	0.11428	0.17383	0.078425	0.174182	0.172136	0.015454	
Sample_2	2.1e-05	0.175989	0.006115	0.057787	0.055069	0.199222	0.198961	0.271437	0.035399	
Sample_3	0.011519	0.290294	0.039322	0.149552	0.038185	0.172104	0.201117	0.027035	0.070872	
Sample_4	0.050549	0.24253	0.034522	0.047449	0.144341	0.210081	0.121017	0.031878	0.117633	
Sample_5	0.081249	0.1361	0.084699	0.018344	0.045521	0.311084	0.170253	0.06084	0.091909	
Sample_6	0.065636	0.141485	0.021074	0.025291	0.091455	0.371926	0.190686	0.084027	0.008421	
Sample_7	0.123365	0.154458	0.046541	0.01771	0.127678	0.311491	0.066779	0.059234	0.092743	
Sample_8	0.066657	1.1e-05	4e-06	0.067957	0.046642	0.535482	0.080545	0.085463	0.117241	
Sample_9	0.04174	1.2e-05	5e-06	0.017748	0.05743	0.6179	0.08502	0.098757	0.081389	
Sample_10	0.037784	0.066027	0.014091	0.025537	0.030937	0.64321	0.061344	0.098531	0.022539	
Sample_11	0.019802	1.4e-05	0.005325	0.018503	0.040149	0.759431	0.04888	0.062806	0.045091	
Sample_12	7e-06	0.002236	0.008243	1.6e-05	0.011101	0.84467	0.061945	0.040863	0.030919	
Sample_13	0.008438	6e-06	0.005786	0.004532	0.006403	0.965648	2.3e-05	0.0	0.009164	
Sample_14	0.006344	7e-06	0.006244	0.005092	0.006631	0.965401	2.3e-05	0.0	0.010259	
Sample_15	5e-06	0.001771	0.001667	0.005336	0.001656	0.978305	0.003819	0.0	0.007442	
Sample_16	5e-06	0.002034	0.002003	0.006956	0.001983	0.977686	0.00229	0.0	0.007042	
Sample_17	0.021492	7e-06	0.003406	0.002563	0.003967	0.95258	0.00707	0.0	0.008914	
Sample_18	7e-06	0.028068	0.039915	0.097158	0.165952	0.156259	0.440385	0.032054	0.040202	
Sample_19	0.157132	1.2e-05	6e-06	0.086385	0.194809	0.031695	0.435187	0.0	0.094774	
Sample_20	0.113714	0.220841	0.013094	0.016899	0.140234	0.120162	0.3597	0.0	0.015355	
Sample_21	0.106558	0.233215	0.029848	0.01184	0.048575	0.107081	0.368496	0.0	0.094387	
Sample_22	0.1326	0.132484	0.066374	0.053307	0.048375	0.088054	0.373448	0.084821	0.020537	
Sample_23	0.050019	0.179559	0.021226	0.014201	0.125607	0.076957	0.4722	0.035041	0.02519	
