	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	
Sample_1	0.937402	1.8e-05	0.035172	0.000221	0.000378	0.026809	
Sample_2	0.939489	0.002953	0.042194	0.000228	0.00025	0.014886	
Sample_3	0.435676	0.012831	0.01205	0.019315	0.338974	0.181154	
Sample_4	0.09493	2.3e-05	0.000952	0.002149	0.899372	0.002575	
Sample_5	0.001297	0.00269	0.002472	4.5e-05	0.991881	0.001615	
Sample_6	0.192731	0.001629	0.001621	0.01728	0.770258	0.016481	
Sample_7	0.053953	0.048612	0.033097	0.011752	0.679718	0.172868	
Sample_8	6.6e-05	3e-05	0.271726	0.000569	0.60424	0.123369	
Sample_9	0.066466	0.007779	0.46774	0.029199	0.001224	0.427591	
Sample_10	0.079576	0.008931	0.472455	0.020901	0.004373	0.413763	
Sample_11	0.090099	0.046342	0.398041	0.059595	0.049569	0.356353	
Sample_12	4.5e-05	0.021945	0.515839	0.043112	0.033272	0.385787	
Sample_13	0.056152	0.04212	0.464854	0.01689	0.053753	0.366232	
Sample_14	0.002308	0.049219	0.43712	0.045377	0.083967	0.38201	
Sample_15	0.100482	0.015523	0.340288	0.026694	0.186669	0.330343	
Sample_16	0.119698	0.028087	0.320044	0.009507	0.19601	0.326654	
Sample_17	0.003586	0.028387	0.662007	0.017552	0.076584	0.211884	
Sample_18	4.4e-05	0.018724	0.6641	0.062377	0.049158	0.205597	
Sample_19	0.01209	3.2e-05	0.676056	0.016275	0.044517	0.251029	
Sample_20	6e-05	0.054026	0.579608	0.044122	0.109061	0.213123	
Sample_21	0.082808	0.038492	0.571541	0.000635	0.051158	0.255366	
Sample_22	2.8e-05	0.007174	0.907122	0.000867	0.000671	0.084138	
Sample_23	4.6e-05	0.011225	0.901761	0.000751	0.010933	0.075283	
Sample_24	1.4e-05	0.002944	0.958727	9.8e-05	0.003244	0.034973	
Sample_25	0.015795	3.2e-05	0.88292	0.013381	0.078346	0.009526	
Sample_26	2.8e-05	0.03857	0.817497	0.000318	0.008488	0.135099	
Sample_27	0.013725	0.017224	0.781552	0.000176	0.014753	0.17257	
Sample_28	0.004297	4.2e-05	0.137162	0.032523	0.078689	0.747287	
Sample_29	4e-05	1.3e-05	0.119872	0.052579	0.04785	0.779647	
Sample_30	0.008796	0.012617	0.134762	0.075267	0.061776	0.706782	
Sample_31	0.049994	2.1e-05	0.130808	0.052428	0.056628	0.710121	
Sample_32	0.005301	0.029105	0.173095	0.021954	0.043295	0.72725	
Sample_33	0.006863	0.011749	0.105131	0.03853	0.032172	0.805554	
Sample_34	0.002387	0.012477	0.098332	0.015587	0.021885	0.849332	
Sample_35	0.039344	4.5e-05	0.120304	0.004334	0.018826	0.817148	
Sample_36	0.003865	0.015453	0.124711	0.001387	0.061672	0.792911	
Sample_37	0.004772	0.070941	0.11774	0.043506	0.029263	0.733778	
Sample_38	0.01185	0.056126	0.10126	0.069653	0.058692	0.702419	
