	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	
Sample_1	0.0	0.0	0.021626	0.0	0.978374	0.0	
Sample_2	0.0	0.0	0.016738	0.0	0.983262	0.0	
Sample_3	0.0	0.0	0.0	0.0	1.0	0.0	
Sample_4	0.0	0.0	0.0	0.0	1.0	0.0	
Sample_5	0.0	0.0	0.0	0.0	1.0	0.0	
Sample_6	0.0	0.0	0.0	0.0	1.0	0.0	
Sample_7	0.0	0.0	0.0	0.0	1.0	0.0	
Sample_8	0.0	0.0	0.0	0.0	1.0	0.0	
Sample_9	0.041142	0.0	0.0	0.0	0.958858	0.0	
Sample_10	0.421105	0.0	0.0	0.0	0.578895	0.0	
Sample_11	0.0	0.489141	0.0	0.0	0.510859	0.0	
Sample_12	0.0	0.425161	0.0	0.0	0.574839	0.0	
Sample_13	0.0	0.802234	0.0	0.0	0.197766	0.0	
Sample_14	0.0	0.823032	0.0	0.0	0.176968	0.0	
Sample_15	0.0	1.0	0.0	0.0	0.0	0.0	
Sample_16	1.0	0.0	0.0	0.0	0.0	0.0	
Sample_17	1.0	0.0	0.0	0.0	0.0	0.0	
Sample_18	0.0	0.0	0.0	1.0	0.0	0.0	
Sample_19	0.0	0.0	0.0	1.0	0.0	0.0	
Sample_20	0.0	0.060384	0.0	0.939616	0.0	0.0	
Sample_21	0.0	0.0	1.0	0.0	0.0	0.0	
Sample_22	0.0	0.0	1.0	0.0	0.0	0.0	
Sample_23	0.0	0.0	1.0	0.0	0.0	0.0	
Sample_24	0.0	0.0	0.0	0.0	0.0	1.0	
Sample_25	0.0	0.0	0.0	0.0	0.0	1.0	
Sample_26	0.0	0.0	0.0	0.0	0.0	1.0	
Sample_27	0.0	0.0	0.0	0.0	0.0	1.0	
Sample_28	0.0	0.0	0.0	0.0	0.0	1.0	
Sample_29	0.0	0.0	0.0	0.0	0.0	1.0	
