	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	
Sample_1	0.0	0.656439	0.34356	0.0	
Sample_2	0.0	0.635576	0.364423	0.0	
Sample_3	0.0	0.584599	0.412331	0.00307	
Sample_4	0.009003	0.470014	0.518987	0.001995	
Sample_5	0.0	0.519592	0.480408	0.0	
Sample_6	0.128062	0.840191	0.024885	0.006862	
Sample_7	0.059319	0.156834	0.777696	0.006151	
Sample_8	0.051591	0.110154	0.834539	0.003716	
Sample_9	0.14344	0.0694	0.78716	0.0	
Sample_10	0.054511	0.023654	0.921835	0.0	
Sample_11	0.037881	0.028041	0.930525	0.003553	
Sample_12	0.008414	0.048002	0.936861	0.006723	
Sample_13	0.019873	0.0	0.977352	0.002774	
Sample_14	0.031062	0.005276	0.958154	0.005508	
Sample_15	0.0	0.0	0.999999	0.0	
Sample_16	0.007277	0.0	0.992723	0.0	
Sample_17	1e-06	1e-06	0.992257	0.007742	
Sample_18	0.006308	0.009613	0.98239	0.001689	
Sample_19	0.007359	0.00948	0.976127	0.007034	
Sample_20	0.073143	1e-06	0.901501	0.025355	
Sample_21	0.219558	0.219168	0.543618	0.017656	
Sample_22	0.17968	0.250369	0.540501	0.02945	
Sample_23	0.919206	0.080772	2.2e-05	0.0	
Sample_24	0.921433	0.054356	0.001046	0.023165	
Sample_25	0.999997	0.0	3e-06	0.0	
Sample_26	0.999977	1e-06	2.3e-05	0.0	
Sample_27	0.850806	0.149177	1.7e-05	0.0	
Sample_28	0.811079	0.137829	9e-06	0.051084	
Sample_29	0.685416	0.107228	0.153052	0.054305	
Sample_30	0.0	0.0	2e-06	0.999997	
Sample_31	0.0	0.0	2e-06	0.999998	
Sample_32	0.0	1e-06	1e-05	0.999989	
