	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	Predicted_signature_12	Predicted_signature_13	
Sample_1	0.023598	0.17474	0.016453	0.204176	0.028012	0.001329	0.184723	0.002011	0.063999	0.086779	0.044219	0.078208	0.091753	
Sample_2	0.012865	0.178666	0.044551	0.206001	0.053724	0.001104	0.14751	0.002044	0.081221	0.07341	0.057211	0.079301	0.062394	
Sample_3	0.009776	0.149333	0.026982	0.229828	0.028155	0.00593	0.179704	0.009342	0.100139	0.083044	0.029234	0.065422	0.083111	
Sample_4	0.01731	0.165634	0.029837	0.25173	0.02255	0.020728	0.171961	0.00797	0.066385	0.086525	0.034546	0.043222	0.081602	
Sample_5	0.015139	0.161392	0.011756	0.237641	0.018737	0.00197	0.195551	0.015185	0.085018	0.094996	0.018944	0.024268	0.119404	
Sample_6	0.003568	0.180408	0.019085	0.269454	0.0674	0.020585	0.129487	0.018997	0.029178	0.087968	0.043893	0.062475	0.067501	
Sample_7	0.007902	0.208806	0.027724	0.201808	0.039506	0.01529	0.136098	0.036107	0.108353	0.077456	0.026532	0.041309	0.073108	
Sample_8	0.018841	0.235841	0.026844	0.24577	0.03114	0.011915	0.107827	0.006746	0.131371	0.056118	0.046839	0.041145	0.039604	
Sample_9	0.012631	0.200194	0.031334	0.230082	0.050948	8e-06	0.096625	0.018917	0.105851	0.103854	0.014493	0.079778	0.055286	
Sample_10	0.009754	0.182556	0.028399	0.275088	0.051718	6e-06	0.115222	0.001545	0.133632	0.071423	0.013727	0.052541	0.064389	
Sample_11	0.001501	0.189982	0.020715	0.188865	0.045392	0.030404	0.133893	0.002672	0.08997	0.140086	0.035734	0.050104	0.07068	
Sample_12	0.014731	0.204791	0.017119	0.139505	0.023219	0.046895	0.12694	0.005962	0.064027	0.106891	0.049618	0.072208	0.128093	
Sample_13	0.007977	0.177749	0.021194	0.207101	0.007168	0.017464	0.192401	0.003349	0.187081	0.047741	0.001111	0.033217	0.096447	
Sample_14	0.021399	0.160578	0.014658	0.222501	0.024222	0.029184	0.145006	0.005288	0.14204	0.102485	0.016044	0.005605	0.110991	
Sample_15	0.009936	0.291467	0.008837	0.212614	0.016764	0.003899	0.213129	0.00817	0.063878	0.070048	0.00832	0.025006	0.067932	
Sample_16	0.008257	0.26305	0.017714	0.170143	0.035075	0.00744	0.180824	0.043271	0.058856	0.07737	0.015336	0.033103	0.089562	
Sample_17	0.008607	0.324896	0.014525	0.178419	0.034581	0.009907	0.203664	0.000188	0.032832	0.022436	0.029837	0.047859	0.092248	
Sample_18	0.033223	0.270368	0.032947	0.188217	0.030793	0.012298	0.141083	0.020078	0.06235	0.041431	0.018297	0.057915	0.091001	
Sample_19	0.00982	0.305226	0.022953	0.183815	0.025582	0.010735	0.12338	0.010093	0.089924	0.053755	0.02333	0.041061	0.100325	
Sample_20	0.012415	0.304868	0.021691	0.168418	0.026704	0.014481	0.116187	0.066696	0.080065	0.044466	0.005576	0.028859	0.109574	
Sample_21	0.010439	0.263761	0.01483	0.133145	0.014166	0.013878	0.175566	0.073748	0.0977	0.066431	0.021412	0.036161	0.078763	
Sample_22	0.0045	0.237045	0.018336	0.252303	0.01927	0.003626	0.162382	0.025533	0.065423	0.066267	0.020955	0.04973	0.07463	
Sample_23	0.006521	0.240625	0.024285	0.238829	0.040521	0.01126	0.123496	0.028191	0.069358	0.08562	0.02093	0.025047	0.085317	
Sample_24	0.008298	0.284025	0.020271	0.240717	0.028786	0.005289	0.170064	0.013376	0.065494	0.065379	0.021181	0.012161	0.064959	
Sample_25	0.010144	0.266809	0.018064	0.230134	0.028022	0.007162	0.147478	0.016978	0.085047	0.08386	0.026527	0.026994	0.052781	
Sample_26	0.00531	0.262284	0.019636	0.241998	0.048714	0.012522	0.158225	0.003779	0.042309	0.088726	0.01847	0.029076	0.06895	
Sample_27	0.0106	0.303713	0.024086	0.238017	0.01973	0.007106	0.111176	0.013687	0.071027	0.095517	0.018132	0.023267	0.063943	
Sample_28	0.008277	0.287579	0.029053	0.221701	0.036242	0.016543	0.127042	0.012859	0.055845	0.101081	0.023599	0.02239	0.057792	
Sample_29	0.006464	0.285125	0.024788	0.285459	0.008697	0.001119	0.145638	0.018236	0.080128	0.032565	0.020097	0.027661	0.064022	
Sample_30	0.002166	0.244078	0.017137	0.251459	0.043278	0.004225	0.122389	0.039513	0.093249	0.04725	0.025668	0.045752	0.063835	
Sample_31	0.010998	0.243134	0.016161	0.262909	0.007442	0.00539	0.150073	0.036433	0.030722	0.075017	0.012904	0.023997	0.124819	
Sample_32	0.010221	0.331619	0.025232	0.298348	0.00693	0.005349	0.123263	0.012298	0.034036	0.062976	0.010491	0.011588	0.06765	
Sample_33	0.011882	0.368044	0.022461	0.246391	0.025178	0.009686	0.088658	0.0066	0.059718	0.062033	0.016779	0.022944	0.059625	
Sample_34	0.010791	0.279398	0.022078	0.132834	0.044227	0.001224	0.07051	0.016697	0.104001	0.118444	0.020718	0.019264	0.159815	
Sample_35	0.008124	0.24677	0.008008	0.151309	0.050318	1.9e-05	0.083115	0.037399	0.062341	0.107788	0.040214	0.067029	0.137564	
Sample_36	0.000647	0.263641	0.0186	0.170558	0.090087	0.001481	0.065555	0.047918	0.061475	0.118184	0.037568	0.046752	0.077535	
Sample_37	0.007871	0.271427	0.043124	0.199504	0.053012	0.007511	0.063548	0.047261	0.033953	0.101018	0.014925	0.054603	0.102245	
