	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	
Sample_1	0.026026	0.859406	0.114568	0.0	
Sample_2	0.0	0.897624	0.102376	0.0	
Sample_3	0.0264	0.834051	0.119008	0.020541	
Sample_4	0.021012	0.821024	0.118321	0.039643	
Sample_5	0.053485	0.847841	0.098674	0.0	
Sample_6	0.0	0.782369	0.176023	0.041608	
Sample_7	0.085603	0.857631	0.01241	0.044357	
Sample_8	0.063807	0.860147	0.0	0.076045	
Sample_9	0.108182	0.857437	0.034381	0.0	
Sample_10	0.054118	0.892913	0.0	0.05297	
Sample_11	0.037141	0.921962	0.0	0.040897	
Sample_12	0.019537	0.91865	0.0	0.061813	
Sample_13	0.050826	0.918978	0.0	0.030196	
Sample_14	0.053892	0.914294	0.00463	0.027184	
Sample_15	0.054388	0.901985	0.014361	0.029266	
Sample_16	0.068739	0.905628	0.0	0.025633	
Sample_17	0.063484	0.917777	0.0	0.018739	
Sample_18	0.06397	0.910848	0.009652	0.01553	
Sample_19	0.066906	0.933094	0.0	0.0	
Sample_20	0.059624	0.932111	0.008265	0.0	
Sample_21	0.0	0.992545	0.0	0.007455	
Sample_22	0.0	0.992187	0.001365	0.006448	
Sample_23	0.0	0.994921	0.0	0.005079	
Sample_24	0.003552	0.988375	0.000787	0.007286	
Sample_25	0.0	0.98836	0.0	0.01164	
Sample_26	0.007113	0.984016	0.0	0.008871	
Sample_27	0.0	1.0	0.0	0.0	
Sample_28	0.0	1.0	0.0	0.0	
Sample_29	0.0	1.0	0.0	0.0	
Sample_30	0.0	1.0	0.0	0.0	
Sample_31	0.0	0.970641	0.017174	0.012186	
Sample_32	0.008287	0.965904	0.0	0.025809	
Sample_33	0.011863	0.963131	0.0	0.025007	
Sample_34	0.007199	0.956261	0.005477	0.031063	
Sample_35	0.0	0.981575	0.0	0.018425	
Sample_36	0.019163	0.980837	0.0	0.0	
Sample_37	0.022424	0.977576	0.0	0.0	
Sample_38	0.024373	0.970372	0.0	0.005256	
Sample_39	0.01418	0.981182	0.0	0.004638	
Sample_40	0.03592	0.96408	0.0	0.0	
Sample_41	0.030001	0.969999	0.0	0.0	
Sample_42	0.032752	0.953217	0.0	0.014031	
Sample_43	0.030495	0.961344	0.0	0.008161	
Sample_44	0.026316	0.959499	0.0	0.014185	
Sample_45	0.026204	0.951315	0.00818	0.0143	
Sample_46	0.019176	0.959596	0.0	0.021228	
Sample_47	0.027988	0.947523	0.0	0.024489	
Sample_48	0.011928	0.930036	0.039089	0.018948	
Sample_49	0.011318	0.944328	0.030665	0.013689	
Sample_50	0.016316	0.953395	0.030289	0.0	
Sample_51	0.014246	0.945831	0.039923	0.0	
Sample_52	0.03732	0.919098	0.043582	0.0	
Sample_53	0.026764	0.906945	0.03126	0.035031	
Sample_54	0.0	0.913343	0.059707	0.026949	
Sample_55	0.0	0.916178	0.053927	0.029896	
Sample_56	0.0	0.933131	0.043171	0.023698	
Sample_57	0.0	0.923731	0.076269	0.0	
Sample_58	0.0	0.923662	0.067656	0.008682	
Sample_59	0.026834	0.886115	0.079345	0.007706	
Sample_60	0.0	0.015194	0.984806	0.0	
Sample_61	0.0	0.014205	0.985795	0.0	
Sample_62	0.0	0.019165	0.971528	0.009308	
Sample_63	0.0	0.0	1.0	0.0	
Sample_64	0.0	0.0	1.0	0.0	
Sample_65	0.0	0.0	1.0	0.0	
Sample_66	0.0	0.0	1.0	0.0	
Sample_67	0.0	0.0	1.0	0.0	
Sample_68	0.0	0.0	1.0	0.0	
Sample_69	0.0	0.0	1.0	0.0	
Sample_70	0.0	0.0	1.0	0.0	
Sample_71	0.0	0.0	1.0	0.0	
Sample_72	0.0	0.0	1.0	0.0	
Sample_73	0.0	0.0	1.0	0.0	
Sample_74	0.0	0.004079	0.995921	0.0	
Sample_75	0.0	0.106305	0.893695	0.0	
Sample_76	0.0	0.111013	0.888987	0.0	
Sample_77	0.0	0.121327	0.878673	0.0	
Sample_78	1.0	0.0	0.0	0.0	
Sample_79	1.0	0.0	0.0	0.0	
Sample_80	1.0	0.0	0.0	0.0	
Sample_81	1.0	0.0	0.0	0.0	
Sample_82	1.0	0.0	0.0	0.0	
Sample_83	1.0	0.0	0.0	0.0	
Sample_84	1.0	0.0	0.0	0.0	
Sample_85	1.0	0.0	0.0	0.0	
Sample_86	1.0	0.0	0.0	0.0	
Sample_87	1.0	0.0	0.0	0.0	
Sample_88	1.0	0.0	0.0	0.0	
Sample_89	1.0	0.0	0.0	0.0	
Sample_90	1.0	0.0	0.0	0.0	
Sample_91	1.0	0.0	0.0	0.0	
Sample_92	1.0	0.0	0.0	0.0	
Sample_93	1.0	0.0	0.0	0.0	
Sample_94	1.0	0.0	0.0	0.0	
Sample_95	1.0	0.0	0.0	0.0	
Sample_96	1.0	0.0	0.0	0.0	
Sample_97	1.0	0.0	0.0	0.0	
Sample_98	1.0	0.0	0.0	0.0	
Sample_99	0.942915	0.0	0.057085	0.0	
Sample_100	0.0	0.0	0.0	1.0	
Sample_101	0.0	0.0	0.0	1.0	
