	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	Predicted_signature_7	Predicted_signature_8	Predicted_signature_9	Predicted_signature_10	Predicted_signature_11	
Sample_1	0.036239	0.0	0.078395	0.03277	0.195086	0.027265	0.074322	0.015936	0.145825	0.347676	0.046487	
Sample_2	0.018439	0.0	0.050336	0.063743	0.2533	0.015773	0.067545	0.015362	0.015388	0.404693	0.09542	
Sample_3	0.033206	0.0	0.303512	0.016773	0.196514	0.000289	0.046599	0.041847	0.091914	0.254247	0.0151	
Sample_4	0.051137	0.0	0.174547	0.152834	0.372725	0.016856	0.060793	0.045743	0.071157	0.002685	0.051523	
Sample_5	0.014186	0.0	0.210681	0.033477	0.512909	0.017796	0.007757	0.002378	0.120583	0.026634	0.0536	
Sample_6	0.040318	0.0	0.139483	0.130524	0.507193	0.011851	0.046834	0.017108	0.038422	0.062674	0.005592	
Sample_7	0.054046	0.001555	0.054098	0.101648	0.519263	0.001695	0.087156	0.000718	0.040089	0.059568	0.080165	
Sample_8	0.012187	0.0	0.095157	0.006044	0.803669	0.014075	0.018867	0.0175	0.006748	0.017397	0.008356	
Sample_9	0.047232	0.005864	0.066286	0.026017	0.725842	0.009942	0.034368	0.018676	0.024573	0.025155	0.016045	
Sample_10	0.03955	0.006541	0.01628	0.030033	0.824892	0.003053	0.032922	0.000576	0.014199	0.02768	0.004273	
Sample_11	0.038137	0.0	0.011916	0.02575	0.858974	0.001781	0.01609	0.001604	0.012837	0.026499	0.006412	
Sample_12	0.020122	0.001006	0.022419	0.03996	0.846079	0.007483	0.014604	0.023457	0.010637	0.004489	0.009745	
Sample_13	0.045365	0.0	0.06046	0.025499	0.658584	0.006417	0.034582	0.014485	0.046951	0.069569	0.038088	
Sample_14	0.016481	0.0	0.074375	0.029726	0.368447	3.8e-05	0.07098	0.048193	0.155351	0.196793	0.039615	
Sample_15	0.002543	0.0	0.127917	0.021624	0.387229	0.020972	0.061117	0.028923	0.125445	0.11057	0.113658	
Sample_16	0.050193	0.002704	0.217101	0.00549	0.38889	0.02208	0.026359	0.068543	0.052486	0.151801	0.014353	
Sample_17	0.088526	0.116486	0.081057	0.115994	0.075518	0.0402	0.038647	0.018899	0.342461	0.048655	0.033557	
Sample_18	0.02847	0.002171	0.089168	0.090358	0.053961	0.048513	0.019252	0.011673	0.489644	0.139317	0.027474	
