	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	
Sample_1	0.0	1.0	0.0	0.0	0.0	
Sample_2	0.0	1.0	0.0	0.0	0.0	
Sample_3	0.0	1.0	0.0	0.0	0.0	
Sample_4	0.0	1.0	0.0	0.0	0.0	
Sample_5	0.0	1.0	0.0	0.0	0.0	
Sample_6	0.0	1.0	0.0	0.0	0.0	
Sample_7	0.0	1.0	0.0	0.0	0.0	
Sample_8	0.0	1.0	0.0	0.0	0.0	
Sample_9	0.0	0.967074	0.0	0.0	0.032926	
Sample_10	0.0	0.869005	0.130995	0.0	0.0	
Sample_11	0.484871	0.515129	0.0	0.0	0.0	
Sample_12	0.0	0.0	0.0	1.0	0.0	
Sample_13	0.0	0.0	0.0	1.0	0.0	
Sample_14	0.0	0.0	0.0	1.0	0.0	
Sample_15	0.0	0.0	0.089821	0.910179	0.0	
Sample_16	0.0	0.096748	0.0	0.903252	0.0	
Sample_17	0.255787	0.0	0.0	0.744213	0.0	
Sample_18	0.255422	0.0	0.0	0.744578	0.0	
Sample_19	0.0	0.442505	0.0	0.557495	0.0	
Sample_20	0.0	0.390098	0.0	0.609902	0.0	
Sample_21	0.529333	0.0	0.0	0.0	0.470667	
Sample_22	0.626299	0.0	0.0	0.0	0.373701	
Sample_23	0.379122	0.0	0.0	0.0	0.620878	
Sample_24	0.405648	0.0	0.0	0.0	0.594352	
Sample_25	0.428608	0.007722	0.0	0.0	0.56367	
Sample_26	0.312191	0.0	0.0	0.0	0.687809	
Sample_27	0.0	0.0	0.0	0.0	1.0	
Sample_28	0.0	0.0	0.0	0.0	1.0	
Sample_29	0.0	0.0	0.0	0.0	1.0	
Sample_30	0.0	0.0	0.0	0.0	1.0	
Sample_31	0.0	0.0	0.0	0.0	1.0	
Sample_32	0.575908	0.151559	0.0	0.086237	0.186296	
Sample_33	0.59092	0.19244	0.0	0.043723	0.172917	
Sample_34	0.601471	0.190606	0.0	0.207923	0.0	
Sample_35	1.0	0.0	0.0	0.0	0.0	
Sample_36	1.0	0.0	0.0	0.0	0.0	
Sample_37	1.0	0.0	0.0	0.0	0.0	
Sample_38	1.0	0.0	0.0	0.0	0.0	
Sample_39	1.0	0.0	0.0	0.0	0.0	
Sample_40	1.0	0.0	0.0	0.0	0.0	
Sample_41	1.0	0.0	0.0	0.0	0.0	
Sample_42	1.0	0.0	0.0	0.0	0.0	
Sample_43	1.0	0.0	0.0	0.0	0.0	
Sample_44	1.0	0.0	0.0	0.0	0.0	
Sample_45	1.0	0.0	0.0	0.0	0.0	
Sample_46	1.0	0.0	0.0	0.0	0.0	
Sample_47	1.0	0.0	0.0	0.0	0.0	
Sample_48	1.0	0.0	0.0	0.0	0.0	
Sample_49	1.0	0.0	0.0	0.0	0.0	
Sample_50	1.0	0.0	0.0	0.0	0.0	
Sample_51	1.0	0.0	0.0	0.0	0.0	
Sample_52	0.968667	0.0	0.0	0.031333	0.0	
Sample_53	0.960022	0.039978	0.0	0.0	0.0	
Sample_54	0.956679	0.0	0.043321	0.0	0.0	
Sample_55	0.909622	0.090378	0.0	0.0	0.0	
Sample_56	0.745002	0.0	0.0	0.160956	0.094042	
Sample_57	0.633553	0.0	0.0	0.366447	0.0	
Sample_58	0.56416	0.0	0.0	0.43584	0.0	
Sample_59	0.464187	0.0	0.0	0.535813	0.0	
Sample_60	0.21909	0.0	0.78091	0.0	0.0	
Sample_61	0.184214	0.0	0.815786	0.0	0.0	
Sample_62	0.0	0.0	1.0	0.0	0.0	
Sample_63	0.0	0.0	1.0	0.0	0.0	
Sample_64	0.0	0.0	1.0	0.0	0.0	
Sample_65	0.0	0.0	1.0	0.0	0.0	
Sample_66	0.0	0.0	1.0	0.0	0.0	
